stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,34.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.22,0,0,0,24.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.59,0,0,0,19.33,0,0,0,0,7.62,0,4.75,0,0,0,0,0
 14-21,0,2.43,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.92,60.91,1.08,0,0,0,0,0,1.23,3.79,0,277.22,811.96,49.18,0,0,0,0
 24-34,0,1.67,4.35,0,1.48,65.89,0,0,5.24,0,0,0,0,0,6.18,0.95,9.82,0,0,75.03,414.74,0,9.74,1.68,0,0,5.19,0,3.08,0.91,100.07,359.19,128.95,0,0,0,0
 36-46,0,3.17,2.6,0,13.66,140.9,0,0,4.82,0,2.09,0,0,0.61,0,10.99,5.21,0,0,43.93,699.95,13.52,10.48,0.72,0,0,0.78,0,0,0,53.58,14.17,153.46,0,12.3,0,0
 48-58,0,0,4.33,1.22,79.31,122.89,0,0,22.06,0,0.63,1.77,0,0,0,0.86,14.16,0,0,44.19,1205.85,0,5.01,0,0,0,9.9,0,0,0,39.69,0,137.95,0,3.05,0,3.06
 60-70,0,0,0.71,0,348.81,78.53,0,0,29.17,0,0,0,0,0,0,0,17.73,0,0,39.66,1875.72,0,7.22,0.58,0,0,9.65,0,0,0,21.9,0,151.47,0,0,0.89,0
 72-82,0,3.8,11.36,17.34,513.09,54.76,0,9.34,15.65,0.94,0,0,0,0,1.32,0,19.28,0,0,25.39,1628.76,0,5.04,0.81,1.13,0,3.22,0,0,0,13.44,0,107.25,0,3.82,1.96,0
 84-94,0,0.7,16.13,3.49,446.4,39.35,0,0.65,40.68,2.31,5.44,0.65,1.07,0,0,0,7.25,0,2.23,16.65,1246.52,0.99,0.89,0,0,0,5.09,0,0,0,14.5,0,36.02,0,5.96,2.8,0
 96-106,0,8.94,6.52,3.99,362.59,60.32,0,0.64,27.08,4.74,1.53,0,0,0,10.14,0,17.19,0,0,17.1,943.69,0,4.76,5.19,0,0,18,0,0,0,20.51,0,23.52,0,9.28,1.88,0
108-118,0,1.06,9.55,7.66,351.44,30.36,0.91,0,29.43,0.68,0,0,0.88,0,0.73,0,26.89,0,0,12.07,919.27,0,12.9,0.58,0,1.22,3.25,0,0,0,18.4,0,22.01,0.89,2.64,0.57,0
120,0,4.41,12.04,18.23,479.66,68.36,0,0,57.76,0,0,0,0,0,6.54,0,19.06,2.91,9.18,39.94,1632.65,0,2.2,0,0,0,0,0,0,0,4.61,0,88.88,0,0,0,0
