stage,endocrine_pancreas,eye,glial,hatching_gland,heart,immune,ionocyte,mesenchyme,muscle,neural,spinal_cord,vascular_smooth_muscle
 24-34,0.84,1.7,0,0,0,0,2.23,0,0,7.18,1.76,0
 36-46,0,3.03,1.24,1.6,0,0,0,0,0,15.33,5.43,0
 48-58,0,14.4,0.67,0,0,0,0,0,0,26.83,9.89,0
 60-70,0,3.57,0.61,0,0,0,0,0,0.6,69.46,13.43,0
 72-82,0,18.58,2.18,0,0,0,0,0.72,0,104.03,16.98,0
 84-94,0,15.38,0,0,0,1.86,0.8,5.5,0,47.87,15.8,0
 96-106,0,22.37,0,0,0,0,0,1.5,0,47.83,0,0
108-118,0.71,10.59,0,0,0,0,0,2.38,1.49,33.83,0,0
120,0,0,0,0,4.47,11.09,0,0,0,28.13,1.95,6.25
