stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  5-6,7.05,46.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.42,0,0,6.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.98,0.8,0,0.89,0,0,0,0,0,0,0,0,0,5.73,0,0,3.44,10.66,0,0.96,0,0,0,4.3,0,1.23,8.95,0,0,0,0
 24-34,0,0,0,3.89,0,0.76,0,0,0,1.52,0,0,0,0,0,24.68,0,0,23.93,13.11,0.59,0.74,0,0,1.69,0,0,0.6,46.97,0,0,0,0
 36-46,0,0,0,0.56,0,0.85,0,0,0,0.77,0,0,0,0,0,45.39,0,0,22.7,6.22,2.3,1.29,0,0,0,0,0,0,37.72,0,0,0,0
 48-58,0,0,0,5.07,0,4.27,0.58,0.84,0.64,0.72,0,0,0,0,0,53.16,0,0,12.61,3.47,0.49,9.34,0,0,0,0,0,0,44.39,0,0,0,0
 60-70,0,0,0,7.99,0,8.33,0,1.83,0,7.46,1.09,0,0,0.79,0,81,0,0.95,4.61,12.42,3.7,2.08,0,0,0,0,0,0,20.33,0,0.59,0,0
 72-82,0,0,0,10.43,0,6.24,0,0.64,1.69,4.86,1.72,0,0,1.56,0,94.19,0,1.12,13.04,6.68,2.72,2.74,0,0,0,0,0,0,11.88,0,0,0,1.14
 84-94,0,0,0,7.24,0,29.07,0.79,4.44,1.9,4.67,1.31,0,0,0,10.71,98.23,0,1.01,12.05,1.38,2.72,7.71,0,0,0,0,0.68,0,14,0,1.03,0,0
 96-106,0,0,0,2.71,1.12,25.73,0,0,5.06,6.16,0,1.15,0,0,0,65.2,0,4.3,12.37,19.81,2.96,10.56,0,0,0,0,0,0,4.78,0,0.75,0,0.85
108-118,0,0,0,7.72,0,45.39,0,2.45,0,3.77,0,0,3.14,0,0,89.6,1.71,0,1.67,6.77,8.57,8.55,0,1.06,0,0,0,0,1.7,0.71,0,0,0
120,0,0,1.28,7.63,0,33.85,0,1.73,0,10.09,0,0,0,0,0,50.51,0,0,1.54,7.43,20,9.1,0,0,0,0,0,0,4.36,0,2.93,3.93,0
