stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,27.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,19.01,0,17.63,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,168.73,0,0,0,0,0,5.07,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2212.08,1.98,5.58,0,0,0,1.64,2.87,14.27,0,0,2.07,0,0,0,0,1.75,3.69,0,4.24,38.3,1.29,0.93,0,2.54,0,111.55,0,1.3,0,5.31,2.11,0,0,2.06,0,0
 24-34,0,0,0.67,1757.57,4.21,11.05,0,0.8,0,0,0,1.4,0.79,0,0.88,0,0,2.59,0,23.47,8.44,19.96,5.41,148.91,0,0,0,0,0,221.54,0,0,0,1.41,14.11,0,0,3.68,0,0
 36-46,0,0,1.65,574.41,0,0,1.73,3.5,0,0,0,0,0,0,0,0,1,0,0,72.98,10.3,209.95,0,140.74,0,0,0,0,0,332.88,0,0,0,0,2.21,0,0,47.23,0,0
 48-58,0,0,0,457.86,15.33,7.78,0,0.87,0.7,4.3,0,0,0.65,0.58,0.65,0,14.95,0,0.39,44.03,7.33,373.58,0.95,162.99,1.24,1.34,0.52,0,23.66,153.68,0,0,0.56,0,11.96,0,22.07,136.27,0,1.31
 60-70,0,0,0,237.12,0,13.14,0,0,1.06,1.69,0,0.63,0,0,3.1,0,11.79,0,0,37.59,2.81,550.77,34.15,87.24,0,6.22,0,0,3.94,129.2,0,0,0,0,4.13,3.69,91.35,153.26,79.14,0
 72-82,0,0,0.75,231.21,5.2,20.6,2.54,0,0,2.81,1.86,0,2.13,0.54,1.72,0,3.25,4.47,0,31.94,1.02,463.17,28.7,53.8,0,0,0,0,11.6,79.75,0,0,0,0,3.2,12.47,189.52,332.86,252.51,0
 84-94,0,0,0,436.14,0,85.32,5.62,1.43,0,16.37,2.77,0,0,3.43,0.56,0,15.99,0,0,22.8,2.18,556.91,40.93,44.01,0,1.56,0,0,14.12,277,0,0,0,0,0,21.61,220.51,515.74,235.39,0
 96-106,0,0,0.88,362.16,2.49,79.56,10.97,3.3,0,9.87,9.26,0,0,5.67,4.81,5.63,8.03,0.96,0,47.01,9.18,272.89,41.53,56.25,0,1.1,0,0,86.33,150.93,2.06,0,0,0,0,49.68,80.27,460.38,364.33,0
108-118,1.16,0,0.6,314.61,0.84,30.57,4.85,4.91,0.62,2.08,13.08,0,0,0,4.2,0,4.77,0,0,27.15,9.67,325.11,45.81,63.91,2.24,0,0,0,81.78,118.68,0,0,0,0,0,59.22,67.74,289.33,345.85,0
120,0,0,0,190.9,0,4.09,15.83,7.85,0,0,5.85,0,0,9.54,4.1,0,1.63,0,0,8.44,5.16,251.5,16.69,94.79,0,0,0,0,146.03,107.81,0,0,0,0,0,25.08,53.65,379.1,587.24,0
