stage,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,0.82,0,0,0.91,0,0,0,0,0,0,25.15,0,0,0.88,0,3.22,1.79,7.21,0,0,0,0
 24-34,0,0,0,0,0,1.71,0,0,0,2.92,0,0,28.48,0,0,0,0,0,0,3.33,0,0,0,0
 36-46,0,0,5.87,0,0,0.64,0,0.75,0.56,0,0,0,22.55,0.83,0,0,0,0,0,6.16,0,0,0,0
 48-58,4.53,0,8.87,0,0.59,5.19,0,0,0,7.69,0,0.41,15.33,0,0,0,0.39,0,0,7.13,0,0,0,0
 60-70,0,0,5.23,0,0,1.83,1.41,3,0,6.17,0,0,29.35,0,1.58,0,0.68,0,0,0,0,0,0,0
 72-82,0,0,10.57,0,0,0,0,0,0,8.73,0,0.69,10.3,0,0,0,0,0,0,1.56,1.33,0,3.1,0
 84-94,0,0,3.48,0.56,0,0,5.41,0,0.55,1.94,0,0,3.35,0,1.29,0,0,0,0,2.15,0,0,0,0
 96-106,0.74,0.71,0.88,0,0,2.48,0,0,0,4.34,0,0,4.84,0,0,0,0,0,0,0.99,0,0,0,0.61
108-118,2.25,0,0,0,0,5.58,0.67,0,2.22,4.3,0.93,0,12.1,0.49,0.53,0,0,0,0,1.38,0,0,0.78,0
120,0,0,0,1.05,0,0,0,0,0,0,0,0,6.66,0,0,0,0,0,0,0,0,2.12,0,3.74
