stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,66.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,122.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0
  7-9,4.89,8.93,0,3.3,0,0,0,6.92,0,0,0,0,0,10.62,0,0,0,0,0,0,0,0,0,0,91.25,0,0,0,12.08,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.12,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.48,0,0,0,0,0,0,10.68,0,0,0,0,0,0,0,0,3.24,0,0,2.22,12.32,0,0,0,0,0,0,1.18,0,1.46,119.01,0,0,0,0,0
 24-34,0,0,0,0,1.55,0,0,26.59,0,0,2.31,317.4,0,0,0,0,0,0,0,0,29.18,0,0,3.09,411.94,4.14,0.63,0,0,0,0,0,1.59,0.68,1080.19,0,0,0,0,0
 36-46,0,0,0,0,3.03,0,0,18.56,0,0,0,388.09,0,0,0,0,0,0,0,0.66,16.98,0,0,16.6,1117.19,0.74,0,0,0,0,3.53,0,0,2.66,977.31,0,0,0,0,7.1
 48-58,0,0,0,0,24.54,0,0,50.3,0,0,1.36,329.82,0,4.42,1.45,0.52,0,7.73,0.46,0,27.79,0,0,7.43,2086.29,8.04,0,0,0,0,3.86,0,1.01,0.46,1478.72,0,0.79,0,0,0
 60-70,0,0,0,0,28.39,0,0,187.96,0,12.28,2.33,127.82,0,0,0,0,0,0,0,0,43.83,0,7.93,11.58,3250.75,1.33,0,0,0,0,6.17,0,2.41,1.01,1519.65,0,11.35,0,0,2.81
 72-82,0,0,0.81,0,11.26,0,0,553.09,1.95,0,1.03,76.48,2.03,0,0,0,0,0,7.01,0.59,60.29,0,11.69,6.26,4318.46,0,0,0.76,0,0.77,2.44,0,2.22,0,893.38,0.82,34.19,7.08,2.56,23.27
 84-94,0,0,0,0,21.09,9.37,0,488.69,8.26,0,1.51,53.24,2.51,0,0,0,0.55,0,6.41,0,165.98,0,14.53,23.81,2612.31,0,0,32.08,0,0,2.54,0,3.79,0,900.79,0,62.61,0,0,0
 96-106,0,0,1.96,0,15.46,5.55,0,724.17,5.24,0,4.04,47.51,4.43,0,0,0.71,0,1.47,0.82,10.85,99.71,0.71,0.62,6.14,2301.7,0,3.13,15.56,0,0.81,7.93,0,0.71,0,421.5,0,16.92,2.32,3.66,6.14
108-118,0,0,0,0,20.05,5.93,0,628.37,0.58,0,2.47,75.59,4.84,0,1.42,0,0,1.37,10.25,0,61.43,0,2.06,5.31,2576.71,0,0,60.07,0,4.92,1.96,0,5.03,0,252.97,0,7.84,4.35,7.56,1.55
120,0,0,0,0,27.15,10.59,14.01,905.42,4.63,2.54,2.35,157.56,16.55,0,4.47,3.35,0,0,0,0,147.16,1.49,4.76,24.09,8228.82,0,4.01,81.79,0,0,5.9,0,5.1,0,482.49,1.37,1.32,2.66,0,0
