stage,eye,fast.muscle,glial,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,spinal.cord
  7-9,0,0,0,0,0,0,8.38,0,4.75,0,6.96,0
 10-12,0,0,0,0,0,22.92,0,0,15.28,0,0,0
 14-21,0,0,1.67,0,0,4.79,0,0,0,0,0,6.88
 24-34,0.71,0,0,1.27,0,42.83,0,0,0,0,0,3.27
 36-46,9.88,0,1.51,2.62,0,95.07,0,0,0,0,0,11.49
 48-58,15.75,1.55,8.64,2.08,1.31,66.71,0,0.97,0,12.55,0,17.13
 60-70,11.67,4.31,0,1.25,0.68,28.34,0,0,0,0,0,3.43
 72-82,2.68,0,0,0,0,22.82,0,1.19,0,0,0,0
 84-94,3.23,0,0,0,0.94,15.6,0,0,0,0,0,0
 96-106,0,4.47,0,0,1.24,1.53,0,0,0,0,0,0
108-118,2.76,0.42,0,2.77,0,10.61,0,0,0,0,0,0
120,1.69,0,0,0,1.15,4.38,0,0,0,0,0,0
