stage,blastomeres,epidermis,eye,fin.epithelia,glial,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.48,0,0,0,0,0,0,0,18.21,5.04,0,33.97,0,0,0,0,0
 10-12,0,0,9.15,0,0,0,0,0,0,0,0,0,0,36.34,0,0,0,0,0
 14-21,0,0.92,0,0,0,0,0,0,0,0,3.48,3.4,0,1.87,1.74,1.61,0,0,0
 24-34,0,1.39,1.68,0,0.63,0,0,0.6,0,0.63,24.73,0,0,0,0,0,8.91,0.68,0
 36-46,0,0,0.86,0,2.41,0,0.77,1.43,0,4.68,30.96,1.18,0,0,0,0,9.54,0,0
 48-58,0,0,3.05,0,7.25,0,0,0.93,0,0.4,35.01,0.69,0,0,0,0,17.99,0,0.54
 60-70,0,0,14.21,0,3.35,0,0,5.65,0,0,14.08,0,0,0,0,0,7.25,2.95,0
 72-82,0,0,6.5,0,6.35,0,0,7.02,1.43,0,29.01,0,0.52,0,0,0,1.03,0,0
 84-94,0,0.86,0.68,0,3.44,0,0,2.77,0.66,0,8.64,0.67,0.89,0,0,0,0,0,0
 96-106,0,0,0,0,3.48,0,0,4.86,0,0,15.2,0,2.27,0,0,0,0,0,0
108-118,0,0,0.78,2.5,1.49,0.56,0,1.09,0,0,12.57,0,0,0,0,0,0,0.78,0
120,0,1.47,0,0,6.18,0,0,1.56,0,0,0,0,0,0,0,0,0,0,0
