stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,26.37,1235.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.29,0,0,0,0,0,0,0,0,0
  5-6,71.76,847.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.62,0,0,0,12.44,7.36,0,0,0,0,0,0,0,0,0
  7-9,0,6.21,0,50.25,0,0,0,35.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349.38,13.44,0,0,72.18,0,12.07,0,0,0,0,0,0,0,0
 10-12,0,4.34,0,31.02,0,0,0,32.01,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0,0,342.54,3.39,0,0,108.4,0,10.42,10.74,18.64,0,0,0,0,0,0
 14-21,0,0,1.24,0,1.7,0,0,2.79,1.16,0,3.14,0,0,0,0,0,0,0,0,0,0.88,0,5.81,59.62,1.17,0,1.95,0.82,0.84,0,12.32,1.87,5.22,10.98,0,0,0,0
 24-34,0,0,0,0.59,6.88,1.4,0,8.39,0,0,0.7,1.59,0,0,0,0,1.94,0,0.66,0,4.74,0,3.69,75.53,0,0,0,0,0.64,0,0,0,0.66,19.46,0,0,0.69,0
 36-46,0,0,0,0,0.72,0,0,6.17,0,0,4.14,0,0,0,1.52,0,0,0,0,0,7.53,0,3.03,53.75,0,0,0,0,0.61,0,0,0,0,16.48,0,0,0,0
 48-58,0,0,0,0,0.88,0,0,22.58,0,0.7,4.36,0,0,0,0,0.38,0,0.39,0,3.79,7.44,0,1.68,64.79,1.02,0.92,0.62,0,0,0,0,0,0,19,0,0,0.88,1.24
 60-70,0,0,0,0,3.56,0,0,50.85,0,0,11.85,0,0,1.8,0,0,0,0,5.99,0,32.71,0,0.81,70.16,0,0,0.89,0,0,0,0,0,0,10.94,0,0,0,0
 72-82,0,0,0,0,0.69,0,0,30.83,0,0,13.17,0.71,0,0,0,0,0,0,0,0,7,0,1.54,61,0,0,0,0,0.8,0,0,0,0,20.78,0,1.59,0.64,0
 84-94,0,0,0,0,2.07,0.58,0,43.53,0,1.89,8.55,0.57,0,0,1.03,0,0,0,0,0,32.17,3.24,1.6,62.48,0.66,1.78,4.81,0,7.19,0,0,0,0,2.83,1.55,0,0.57,0
 96-106,0,0,0,0,0.94,0,1.05,52.77,0,0,19.52,2.38,0,0,0.85,0,0,0,1.58,0,14.36,0,1.28,61.41,0,0,3.57,0,23.67,0,0,0,0,5.17,0,0,0,0
108-118,0,0,0,0,1.44,0,0,21.94,0.78,0,20.59,0,0,0,0,0,0,0.47,0,4.61,18.77,0,3.64,78.77,0,2.07,1.14,0,1.53,0,0,0,0,19.55,0,0,0.44,0.51
120,0,0,0,0,0,1.49,0,31.58,1.31,1.67,11.19,1.04,0,0,0,0,0,0,0,0,27.34,0,4.37,121.47,0,0,2.3,0,10.2,0,0,0,0,0,0,2.71,0,0
