stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,122.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.72,0,0,0,0,0,0,0,0,0,0
  5-6,6.15,79.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.16,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.49,0,0,0,0,0,3.47,0,18.01,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.07,4.62,0,3.81,0,0.82,0,1.28,0,0.87,0,0,0,0,0,0,0,5.03,0,0,2.09,47.89,2.21,0,0,0.95,0,8.85,2.22,0,0,3.74,14.46,0,0,2.53,0,0
 24-34,0,0,0,18.94,0,0,14.31,0,0,0,6.3,0.67,2.23,0,0.61,4.61,0,0,0,0,18.78,3.18,0,16.9,215.21,0,4.78,3.41,0,0,7.99,0,2.06,0,0.61,33.83,0,0,7.42,0,0
 36-46,0,0,0,2.06,0.94,0,18.17,0,0,0,26.81,0,2.37,0,0,0,0,1.22,0,0,20.87,4.95,0,4.27,279.39,0,6.78,2.14,0,0,41.39,0,1.04,0,0,41.03,0,0,4.54,0,2.24
 48-58,0,0,0,5.64,0,0,38.69,1.63,0,3.31,30.07,1.46,0.96,0,0.99,9.91,0,1.05,0,6.87,23.77,3.54,0.55,5.29,176.68,0,2.54,3.17,0,0,25.74,0,3.23,0,0,42.17,0,0,1.07,0,3.48
 60-70,0,0,0.65,35.81,0,0,82.05,1.22,1.69,0,34.26,12.45,0.66,1.29,0.63,2.4,0,1.24,1.2,0,20.39,16.05,0,0,182.1,0,0.96,0,0,0,45.35,0,0,0,0,31.9,4.67,1.84,0.82,0,3.77
 72-82,0,0,6.15,84.66,4.62,0,71.74,0,0,1.28,53.7,82.79,0.62,0.87,1.96,4.79,4.75,2.91,2.5,2.82,25.55,10.26,2.34,1.65,162.82,1.8,4.72,6.1,0,0.71,36.69,0,3.7,0,0,17.14,49.36,0.78,8.44,2.82,0
 84-94,0,0,10.94,295.87,10.18,1.09,56.2,0.79,0,1.36,27.75,146.44,0,0.79,2.55,7.48,2.85,3.25,12.78,0,53.38,11.59,1.31,4.18,123.59,0.9,3.73,4.6,0,0,105.95,0,3.58,0,0,14.3,228.41,2.05,5.59,5.09,0.55
 96-106,0,0,14.52,341.13,2.09,0.66,94.32,0,1.22,0,40.88,384.06,1.06,2.56,4.98,16.7,2.6,8.19,26.99,0,40.39,8.89,1.05,1.57,141.93,0,3.18,5.38,0,0,81.35,0,0,0,0,13.33,297.69,0,7.48,0.76,2.72
108-118,0,0,10.6,496.31,17.43,3.85,81.31,0.51,3.49,1.26,55.04,508.17,0,0.78,2.24,7.8,1.1,2.22,10.53,0.78,29.34,21.61,1.39,1.34,239.29,0.93,6.38,5.45,0,0.95,109.98,0,3.4,0.86,0,9.24,248.54,0,22.72,2.43,0
120,0,0,1.22,325.23,1.59,1.62,66.95,0,1.85,1.26,36.61,328.38,0,0,1.19,9.61,12.46,6.46,10.97,0,23.91,1.31,0,6.07,229.58,1.81,3.57,2.45,0,0,131.75,0,1.47,0,0,11.59,100.85,0,14.72,0,0
