stage,blastomeres,epidermis,fin.epithelia,neural
  3-4,43.55,0,0,0
  7-9,0,0,0,5.74
 24-34,0,0.65,0.85,0
 84-94,0,0,1.15,0.67
 96-106,0,0,0,4.92
108-118,0,0.48,0,0
120,0,1.12,1.62,0
