stage,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,5.8,0.92,0,0,0,0,1.46,0,0,0,0,0,0,0,0,6.47,0,0,0,0,2.8,2.96,5.75,0,0
 24-34,0.71,0.8,0.79,0,0,0,0,0,1.02,0,0,0,0.61,0,0,1.64,28.6,0,2.01,0,4.96,0,1.5,5.16,0,4.07
 36-46,0,2.62,3.82,0,0,0,2.69,0,0,0,0,0.66,5.28,0,1.13,1.74,62.63,0,0,0,9.34,0,0,3.2,0,0
 48-58,0,0,13.41,0,0.45,0.53,1.18,0,0,0,0,0.74,3.84,0,1.5,2.7,39.29,0.83,0.55,0.37,1.97,0,0,9.36,0,1.46
 60-70,0,0,12.76,0,6.47,0,0,0,0,0,0,0,12.37,0,0,0,7.22,0,0,0,11.22,0,0,0,0,0.68
 72-82,0,6.85,2.46,0,1.54,0.58,4.98,0,0,0,0,0,7.53,0.59,1.98,0,6.38,0,0,0,0.75,0,0,5.9,0.53,0
 84-94,0,4.27,19.84,0,0,1.6,0,0,0,0,0,0,21.23,0.86,1.32,0,14,0,0,0,5.11,0,0,0,0,1.04
 96-106,0,1.6,8.8,3.61,0,0,0,0,0,0,0.92,0,4.31,0,2.02,0,1.25,0,0,0,3.95,0,0,0,0,4.38
108-118,0,2.28,15.48,0,1.67,0.75,3.74,0,0,0.55,0.44,0.43,2.78,0,1.15,6.68,19.24,0,0,0,5.91,0,0,0,0,5.16
120,0,7.17,0,0,5.73,0,0,0,0,0,0,0,22.04,0,0,2,13.98,0,1.48,0,2.07,0,0,0,0,0
