stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.82,0,9.83,234.04,0,0,0,0,0,1.08,0,209.89,0,0,0,0,0.95,0,0,0,12.34,0,0,0,0,0,0.87,0,6.07,0,0,0,0,0
 24-34,1.26,0,1.89,80.8,0.61,0,0,0,0,0.67,0,403.32,0,0,0,0,0.98,0,0,0,38.58,0,4.96,0,0,0.98,0,1.4,6.18,0,0,8.94,0,0.77
 36-46,0,0,3.44,1.38,1.56,0,0,0,1.14,0,0,646.56,0,0,0,0,1.39,1.32,0,0.72,19.86,0,3.1,0.77,0,0.56,0,0,11.89,0,0,10.17,0,0
 48-58,0,0,1.71,6.71,6.27,0,0,0,1.91,0,0,327.45,0,0.46,0,0,2.75,0,0,0.46,29.46,0,0,0,0,0,0,0.56,0.57,0,0,7.61,0,0
 60-70,0,0,0.58,0,8.83,0,2.33,0,3.54,2.16,0,611.15,0,0,0,0,5.09,0,0,0,26.68,0,0.99,0,0.71,0.69,0,0.85,11.26,0,0,12.54,0,5.82
 72-82,2.67,0,2.26,0,12.42,0,0,1.18,1.09,18.36,0,335.83,0,0,0,0,0.55,0,0,0,23.55,0,0,0,0,1.74,0,0,0.54,0,0,9.3,0,0
 84-94,0,0,0.67,0,3.6,0.7,0,0,0,25.23,0,473.9,0,0,0,0.82,4.93,1.44,0,0,4.04,0,0,0.65,0,3.69,0,1.83,0,0.56,0,9.59,0,0
 96-106,2.69,0,8.98,2.59,2.32,0,0,0,1.61,48.09,0,562.71,6.9,0,0,0,16.02,0,1.4,1.48,33.64,0,2.95,0,0,13.93,0,0.73,0,0,1.64,37.37,2.02,0
108-118,0.8,0.51,6.03,0.54,7.96,0,0,0,0,41.11,0,580.3,0,2.46,0,0,6.97,0,0.63,0.66,10.44,0,0.45,1.85,0,1.97,0,0,0,0,0,25.96,0,0
120,1.22,0,8.36,1.22,0,0,0,0,3.47,23.73,2.63,650.02,0,0,2.29,0,4.9,0,0,0,8.18,2.47,1.31,0,0,6.73,0,1.22,0,0,0,20.3,0,0
