stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1420.97,48781.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2578.76,0,0,0,0,0,0,0,0,0,0
  5-6,1487.56,13404.61,29.43,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,309.77,24.88,0,0,62.68,265.3,0,0,0,0,0,0,0,0,0,0
  7-9,27.5,35.03,29.1,0,0,0,33.04,0,0,0,0,0,24.9,0,0,0,0,0,0,0,0,0,635,14.03,0,0,139.31,0,73.75,0,0,0,0,0,0,0,0,0
 10-12,0,7.02,0,0,0,0,5.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.56,0,0,0,19.51,0,0,0,3.8,0,0,0,0,0,0,0
 14-21,0,0,0.81,2.24,0.83,0,2.28,0,0,0,0.81,0,0,0.96,0,0,0,0,0,0,0,0,6.83,0,0,0.87,0,0,0,5.64,0,0.86,5.88,0,0,0,0,0
 24-34,0,0,0,0,0.66,0,1.67,0,0,0,0,0,0,0,0,0.66,0,0,0,1.19,2.37,1.76,34.85,0,0.75,0.69,0,22.24,0.86,0,0,0,19.42,0,0,0,0,2.31
 36-46,0,0,0,0.6,0,0,9.85,4.42,0,0,1.18,0.56,0,0,0,0,0,0,0,0,4.19,3.63,62.68,0.57,0,1.13,0,21.7,0,0,0,0,2.58,0,0,0,0,0
 48-58,0,0,0,0.43,0,0,17.44,0,0,0,21.03,0,0,0,0,0.49,0,0,0,1.53,3.79,0.38,70.2,0,0,0,0,9.11,0,0,0.46,0,12.68,0,0,0,0,1.99
 60-70,0,0,0,0,0,0,13.35,0,3.16,1.37,38.44,2.93,0,0,0,0,0,0,0,2.31,4.99,0,31.97,0,2.38,6.49,0,19.05,0,0,0,0,1.54,0,0,0,0,0
 72-82,0,0,0,0,19.95,0,12.9,0,0,0,14.61,0,0,0,0,0.63,0.57,0,0,0,4.42,0,54.27,0,0.53,1.66,0,9.56,0,0,0,0,1.58,0,0.5,0,0.56,0
 84-94,0,0,0,0,14.44,0,11.17,0,0,5.77,29.32,0,0,0,4.11,0,0,0,0,0.91,3.94,0,25.93,0,0,0,0,7.97,0,0,0,0,4.29,0,0,0,0,0.7
 96-106,0,0,0,3.25,1.6,0,20.13,0,0,0,26.11,0,0,0,0,0.87,0,2.28,0,0,4.04,0,8.96,0,0,1.63,0,12.36,0,0,0,0,4.84,1.82,0.78,0,0,0
108-118,0,0,0,2.64,19.18,0,29.55,7.43,0,0,45.24,0,0,0.61,3.2,2.7,0.63,0,5.39,1.28,22.47,1.16,23.77,0.69,0,1.73,0,9.16,0,0,0.44,0,1.22,0,1.11,2.75,0,1.71
120,0,0,0,2.2,14.62,1.58,25.69,0,0,0,58.45,0,0,0,9.77,1.25,0,1.69,0,1.51,51.42,1.82,57.61,6.64,0,0,0,11.21,0,0,0,0,14.04,0,0,0,1.93,2.34
