stage,mesenchyme,neural,pericytes,spinal.cord
 60-70,0,2.84,0,1.08
 72-82,0,1.27,2.19,0
 84-94,0,5.58,0,0
 96-106,0,4.73,0,0
108-118,3.25,0,0,0
