stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,81.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,56.32,0,0,0,12.92,4.29,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.9,4.22,0,0,12.86,4.24,0,0,0
 14-21,0,1.64,0,0,0,1.78,0,0,0,0,2.7,0.81,0,0,21.6,0,0,0,0,0,5.6,0.97,16.7
 24-34,0,2.31,0,4.14,0,14.36,0,0.68,0,0,0,4.19,0,0,53.05,0,1.84,0,0,2.47,0.83,1.36,9.61
 36-46,0,0.57,0,2.74,0,8.07,0,0,0,0,0,1.47,0,0,48.33,0,0,0,0,0,2.78,0,17.21
 48-58,0,0,0,7.45,0,7.63,0,0,0,5.79,0,4.68,1.23,0,24.15,0,1.36,0,0,0,0,0,21.39
 60-70,0,0.57,0,12.1,0,6.34,0,0,3.59,0,0,6.67,0,0,38.42,1.73,4.46,0,0,0.85,0.68,0,4.91
 72-82,0,1.29,0,12.19,0,11.61,0,0,0,0,0,3.03,0,0.53,21.07,0,1.9,3.01,0,0,0,0,10.47
 84-94,0,1.25,0,7.86,0,1.97,0,0,0,0,0,5.26,0,1,17.01,0,0,4.24,0,0,0,0,3
 96-106,0,0,3.61,0.65,1.74,7.1,0,0,0,0,0,0.8,0,0,2.14,0,1.03,1.39,0,0,0,0,1.3
108-118,0,1.19,0,1.68,0,4.44,0,0,0,0,0,3.95,0,2.18,7.6,0,1.04,0.55,0,1.31,1.41,0,6.55
120,0,0,0,2.12,0,9.33,13.49,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0
