stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,18.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,41.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.3,93.92,0,0,29.75,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,7.59,17.19,0,17.21,0,0,0,29.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.96,576.98,0,0,65.93,0,0,0,0,0,7.48,0,0,0,0,0,0
 14-21,0,0,2.26,0,3.33,7.07,0,5.96,1.74,0,1.65,0,1.03,0,0,0,0,0,0,0,0.85,0,0,1.35,113.09,939.33,0.87,0,0,0,0,3.76,1.01,0,4.6,42.9,0,0,3.4,0,0
 24-34,0,0,0,0,5.47,0.67,0,10.89,14.92,0,6.04,0,0,8.75,0,0,0,0,0,3.43,13.85,0,2.43,2.81,492.2,50,4.94,0.69,0,0,0,0,0,0,2.62,143.24,0,0,32.44,0,0
 36-46,0,0,0,0,0,0,0,59.43,0.61,0.87,33.66,0,0,2.66,0,0,1.04,0,3.46,0,28.25,0,0,0.65,1159.33,18.84,6.94,0,0,0,2.85,0,0,5.89,0,251.95,0,0,28.96,0,0
 48-58,0,0,0,0,21.65,0,0,328.57,1.41,7.08,88.54,0,0,5.52,0,0,7.67,0,0,6.01,25.79,0,2.99,7.96,1687.64,6.42,5.51,2.5,0,0,4.55,0,0,0,0,288.04,0,0,24.12,0,5.3
 60-70,0,0,0,0,7.97,0,0,1236.04,14,9.7,123.6,0,0,5.1,0,0,0,2.56,0,0,68.54,0,5.57,7.43,2400.37,4.25,7.17,3.55,0,0,12.02,0,0,0,0,291.19,0,0.67,17.85,2.42,0
 72-82,0,0,0.54,0,12.75,0,0,1259.94,0.5,14.43,196.55,0,0,0.68,0.49,0,1.65,3.35,0,0,187.78,0,2.99,3.42,2360.86,1.13,19.84,2.43,0,2.26,1.08,0,1.27,0,0,286.97,0.79,2.21,70,4.71,13.13
 84-94,0.62,0,0.66,0,11.76,0.61,0,763.25,9.24,15.8,133.56,1.46,0,3.78,1.87,0.76,1.84,0.69,2.93,0,148.32,0.98,14.8,0.79,1580.43,3.01,8.61,10.97,0,0,7.18,0,0,0,0,141.54,2.24,0,61.68,4.59,10.21
 96-106,0,0,0.81,0,17.05,20.84,1.93,862.97,8.63,13.54,153.97,0.63,0,1.91,0,0,0,13.59,7.73,5.04,183.19,0,3.78,5.61,1568.95,0,10.29,4.16,0,5.71,12.03,0,0,0,0,88.85,9.56,2.06,95.03,13.56,7.86
108-118,0,0,3.86,0,15.72,12.45,0,674.24,3.05,17.86,182.41,0.7,0,2.6,0.8,0.55,0.86,4.44,7.56,0.61,185.03,1.55,4.06,6.43,1699.15,1.04,12.81,17.66,0,0,0,0,0,0,0,51.4,6.66,0,58.6,6.35,14.63
120,0,0,8.82,0,36.19,0,3.69,745.59,4.32,14.44,414.77,0,0,4.26,0,0,0,1.74,7.27,0,235.57,0,15.95,20.83,3541.52,14.24,22.08,15.51,0,0,6.08,0,1.75,0,0,76.1,3.18,1.54,175.23,1.74,0
