stage,epidermis,erythrocytes,eye,gut,ionocyte,mesenchyme,neural,periderm
 14-21,0,0,0,0,0.9,0,0,0
 48-58,0,0,0,0,0,0,2.05,0
 60-70,10.69,0,0,0,0,0,2.72,0
 72-82,1.47,0,0.73,0,0,0,3.96,0
 84-94,12.35,0,0.69,0,1.44,0,1.76,1.12
 96-106,11.53,3.96,0,0,2.01,0,0,0
108-118,14.08,0,2.9,0.49,3.62,0.61,0,1.27
120,42.49,0,0,0,2.19,0,12.06,0
