stage,epidermis,erythrocytes,exocrine.pancreas,eye,gut,hatching.gland,immune,lateral.line,liver,melanocytes,mucous,muscle,neural,notochord,periderm,spinal.cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7.53,0,3.37,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.27,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.74,0,0
 48-58,2.18,0,0,0,0,0,0,0,0,0.59,0,0.5,0,0,0,0,0,0
 60-70,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0.83
 72-82,2.83,0,0,1.14,1.02,2.1,0,0.92,0,0,0,0,0,0,0,0,0,0
 84-94,20.03,0,0,0,4.07,0,0.63,0.81,0,0,0,0,1.73,0,0,0,0,0
 96-106,15.6,0,0,0,13.07,0,0,2.59,6.59,0,0,0,0,0,0,0,2.53,0
108-118,28.52,0,0.57,0,27.16,0,0,9.73,0,0,0.43,0,0.86,0,3.09,0,1.68,0
120,1.07,3.09,0,0,33.44,0,0,15.83,0,0,0,0,16.84,0,1.04,0,0,0
