stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,19.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,19.05,0,0,0,0,0,0,0,0,0,0,0,5.34,3.53,9.03,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.71,0,0,0,9.16,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.76,0,0,0,0,2.89,0,0,0,0,1.19,1,0.94,0,0.87,0,0,0.82,0,0,0,0
 24-34,0,0,0.69,0,0,0,0,0,0,13.63,0,0,0,0,35.77,0,30.4,0,0,2.11,0,0.67,0.75,0,0,0
 36-46,0,0,0,0,1.93,0,0,0,0,6.69,0,0,0,0,36.33,0,91.68,0,0,2.54,0,0,14.89,0,1.54,0
 48-58,0,0,1.31,0,6.01,2.95,0,0.81,0,10.92,0,0,3.43,0.79,34.15,0,58.82,0,0,0.59,0,0,0.78,0,0,2.3
 60-70,0,2.84,0,0,0,0.93,0.8,4.27,0,17.8,0,7.26,0,0,26.69,1.87,19.72,0,0,0,0,0,1.17,0,0,0
 72-82,0,1.89,1.77,0,3.41,0,1.16,20.71,0,8.55,0,0,0,0,68.25,0,25.97,0,0,0,0,0,0,0,1.02,0
 84-94,0,4.64,4.49,0,1.04,0,0,48.47,0,3.01,0,0,2.16,1.86,75.56,0,61.95,0,0,0,1.4,0,0,0,0,0
 96-106,0,1.1,3.83,0.81,6.28,0.73,2.18,96.67,0,1.41,0.9,9.56,0,0.74,104.51,0.67,36.35,0,0,4.77,0,0,0,0,0,0
108-118,0,0,1.48,0,4.59,0,2.45,138.16,0,0.96,0,0,0,2.58,61.86,0,33.6,0.46,0,1.85,0,0,0,0.66,0,0
120,0,0,2.37,0,7.7,0,0,62.47,0,0,0,0,0,0,77.13,0,8.89,0,0,1.28,0,0,0,2.49,0,0
