stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,5.74,41.82,57.37,0,22.43,0,0,0,0,10.33,1.97,3.07,0,1.73,0,0,0,1.92,58.77,0,0,28.41,245.78,20.63,0.96,3.7,9.24,0,0.83,1.21,23.5,5.01,4.94,33.82,100.81,0,41.64,0,0
 24-34,1.85,2.88,9.27,6.09,0,21.08,0,2.52,0.7,11.1,0,0,8.39,0,1.9,0.92,1.67,0,1.85,112.02,1.58,0,42.82,385.51,5.27,2.41,5.04,0,0,0.77,0.86,0,1,1.35,0.78,89.81,0,222.71,0,0
 36-46,0.73,0,8.89,0.6,0,55.39,0,0,5.08,46.44,0,0,5.77,0,0,1.92,2.43,5.5,0.7,207.77,0.95,4.75,31.14,373.14,0,1.2,1.78,0,0,8.13,0,0,0,0,0,53.59,0,106.65,0,0
 48-58,0,0,9.47,6.52,0,73.94,0,3.3,4.14,95.33,0,0,2.55,6.87,0,0.99,0.5,0,0,233.62,0,1.47,32.72,132.82,0,0,3.66,0,0.55,0.68,0,0,0,0,0,65.17,2.54,75.27,0,0
 60-70,0,0,1.93,10.16,0,63.34,0,0,13.63,94.17,0,0,3.41,0,0,4.25,0.66,0,0.59,298.99,2.41,7.71,24.42,122.33,0,0,1.18,0,2.34,1.39,0,0,0,0,0,23.02,2.28,71.24,0,0
 72-82,0,0,0,165.61,0,39.79,0.65,0,10.47,108.64,1.18,0,8.62,0,0,5.55,0.68,0,0,329.62,0.67,8.45,14.33,86.01,0,0,10.14,0,4.49,0,0,0,2.8,0,0,2.26,1.72,135.28,6.1,6.25
 84-94,0,0,3.11,58.23,0,43.18,0,0,6.46,77.03,0,0,4.38,0,1.76,2.56,2.42,0,0,192.49,1.18,12.3,6.01,93.39,0,0,9.18,0,5.15,0,0,0,1.04,0,0,4.65,7.91,138.49,2.51,0
 96-106,0,0,0.61,87.05,0,15.96,0.62,0,7.21,89.86,4.64,0,3.04,0,0,1.65,0.75,0,0,159.62,0,1.03,3.72,54.04,0,1.13,3.27,0,2.07,0,0,0,1.2,0,0,4.61,0,180.46,7.64,0
108-118,0,0.49,1.64,78.9,0.5,18.37,0,0,4.78,111.84,2.37,0,1.04,0.42,1.3,2.08,0.51,4.08,0,136.14,4.21,0.69,0.83,53.94,0,0,5.91,0,8.51,0,0,0,0.44,0,0,0,4,159.98,3.37,0
120,0,0,2.68,74.45,0,1.21,0,0,5.42,99.52,12.76,0,3.7,0,0,2.93,0,0,0,170.39,0,0,2.18,74.66,0,0,4.56,0,4.22,0,0,0,0,0,0,0,2.93,131.9,28.97,0
