stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0.93,0,9.97,104.35,56.21,130.36,0,0,0,16.64,1.21,4.05,0.97,0,5.33,0.87,0,1.04,1.13,65.17,0.86,0,47.59,1142.53,4.2,3.82,13.94,29.1,0,6.33,0.91,208.7,10.64,5.11,231.9,251.67,0,0,7.33,0,5.77
 24-34,0,0,1.35,9.37,9.41,91.03,0,1.47,0,10.83,3.73,0,1.93,0.71,1.32,1.15,0,0.84,0.77,46.61,0,0.82,28.86,654.29,2.75,3.03,4.27,0,0.99,3.23,0,2.22,1.58,0.65,32.58,112.8,0,0,10.66,0,1.72
 36-46,0,0,0,8.17,1.21,231.28,0,0.62,3.6,28.15,1.65,0,0,1.33,0,6.38,2.21,1.38,0,88.4,0,1.32,25.04,827.48,0,3.65,2.59,0,0,3.47,0,0,0,0,0,163.75,0,0,6.52,0,0
 48-58,0,0,0,8.12,2.13,262.52,0,0.62,3.18,48.44,2.17,0,0.56,1.6,2.99,1.33,1.77,1.67,0,81.96,0,2.3,20.17,478.62,1.11,1.91,2.53,0,0.59,2.14,0,0,0.92,0,0,94.89,0,0,8.11,0,5.3
 60-70,0,0,0,4.68,1.75,222.74,1.77,1.28,4.75,32.11,1.44,0.89,0,1.76,0.86,0,0.84,2.16,4.07,80.46,1.09,2.63,14.16,305.43,0,0.84,2.22,0,0,0.71,0,0,0,0,0,40.09,0,1.29,3.78,0,0
 72-82,0,0,0,5.2,0.65,130.94,0,0.98,2.4,25.36,3.38,0,2.04,6.08,2.38,0,0.51,2.12,0,39.64,0,8.62,10.81,151.8,0,1.82,0.49,0,0,0.6,0,0,1.18,0,0,15.96,2.31,2.22,1.55,1.2,0.55
 84-94,0,0,0,6.7,5.2,129.51,0,0,1.61,18.62,1.39,0,1.27,5.68,0,0,2.79,0,0.67,47.98,0,1.48,17.77,146.88,0,0.69,1.25,0,0,13.54,0,0,0,0,0,41.59,0,1.04,5.66,4.48,0
 96-106,0,0.88,0,17.16,24.46,128.07,0,0.81,6.58,46.44,3.12,0,1.34,4.87,1.12,0.58,0.94,1.93,0.57,96.92,1.89,2.52,26.85,161.66,1.83,0,0,0,0,20.53,0,0,0.6,0,0,14.91,0.67,4.79,14.26,1.29,11.65
108-118,0,0.55,0,36.1,3.36,81.88,0,1.62,1.46,30.11,6.43,0,5.92,4.95,1.17,1.45,2.1,0,2.53,82.27,2.81,4.73,19.31,174.48,0.67,1.52,4.06,0,1.14,22.38,0,0,0,0,0,14.86,0.46,1,2.49,1.57,0.41
120,0,0,0,20.25,4.05,73.48,1.14,1.49,1.61,29.44,0,0,0,3.4,1.45,0,0,0,0,46.43,0,1.83,16.12,104.64,0,0,0,0,7.06,8.58,0,0,0,0,0,8.4,0,0,18.8,0,0
