stage,epidermis,eye,glial,gut,mesenchyme,muscle,neural,periderm,pronephros,somites,spinal.cord,xanthophores
 14-21,0,0,0,0,0,0,7.96,0,0,1.08,2.73,0
 24-34,0,2.02,0,0,0,1.32,17.65,0,0,0,1.58,0.78
 36-46,0,5.48,0,0,0,0,9.09,0,0,0,1.96,0
 48-58,2.78,6.62,0,0,0.88,0,4.04,0,0,0,0.92,0
 60-70,0,14.17,0,0,0,0,0,0,0,0,0,0
 72-82,0,2.25,0,0,0,0,4.13,1.58,0.66,0,0,0
 84-94,0,0,1.24,0.97,0,0,0,0,0,0,0,0
 96-106,0,0.93,0,0,0,0,2.74,0,0,0,0,0
108-118,0,1.16,0,0,0,0,2.85,0,0,0,0,0
120,0,0,0,0,0,0,7.4,0,0,0,0,0
