stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,50.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65,0,0,0,0,0,0,0,0,0
  5-6,0,49.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.72,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,14.49,0,0,0,8.46,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,0,0,0,4.97,0,0,0,0,0,0,0,0
 14-21,0,0,23.56,1.68,0,0,0,0,0,0,0,1.07,0,0,0,0,0,65.07,0,0,104.2,15.93,0,0,0,0,0,0,1.54,6.16,13.44,0,0,0,0,0
 24-34,0,0,157.02,0,4.39,0,1.04,0,1.64,0,0,1.62,0,0,3.75,0,0,281.29,0,0,108.72,75.84,6.65,0.78,0,0,14.47,0,2.74,0.6,13.39,0,0,2.52,0,0
 36-46,0,0,204.17,0,5.7,0,2.78,3.42,1.03,0,0,10.58,0,0,1.71,0,0,393.1,0,2.92,87.07,36.54,0,1.82,0,0,104.34,0,0.88,0,25.85,0,1.25,1.37,0,0
 48-58,0,0,158.83,0,27.47,0,10.39,22.72,10.5,0,0,17.53,0,0,0,0,6.3,541.81,2.61,0.52,70.83,107.76,0,0,0,0,191.87,0,0,0,22.66,0,7.18,2.39,0,0.4
 60-70,0,0,135.61,0,28.65,0,21.97,12.67,10.25,0,0,9.16,0.58,0,1.69,0,0,731.36,0,0.95,46.91,109.26,0,0,3.21,0,155.98,0,0.75,0,10.97,0,4.18,3.27,5,0
 72-82,0,0,103.16,4.77,41.42,3.86,36.84,17.06,13.02,1.34,0,2.36,2.47,0.49,4.89,0,0,1038.4,6.27,16.34,43.65,53.94,0,0,0,0,234.15,0,0,0,13.57,0,11.14,9.24,12.8,8.28
 84-94,0,0,147.92,0.6,49.61,0,21.63,16.36,16.41,0.64,0,3.71,0,5.34,0,0,0,779.65,3.09,17.1,30,57.44,0,0,0,0,572.07,0,0,0,13.55,0.85,2.49,6.84,6.99,0
 96-106,1.12,0,221.05,0,33.29,0.89,21.52,13.36,9.58,0,0,3.82,0,3,0,4.24,0,758.34,4.23,3.84,17.34,82.38,1.96,7.85,0,0,340.14,0,0,0,12.25,0,7.3,2.1,4.08,0
108-118,0,0,214.27,0,51.1,0.66,26.51,23.52,8.23,0.62,0,2.17,0,4,0,0,0,802.73,3.63,1.15,20.58,64.79,1.15,0.59,0,0,147.64,0,0.98,0,3.72,0,17.56,2.9,2.55,0
120,0,0,154.41,1.53,14.3,0,12.61,3.28,21.28,0,0,0,0,0,0,0,0,846.61,0,0,31.77,23.38,3.25,0,0,0,32.83,0,2.35,0,0,1.28,4.92,31.81,7.45,0
