stage,blastomeres,eye,mesenchyme,neural,paraxial.mesoderm,pronephros,spinal.cord
  3-4,46.32,0,0,0,0,0,0
  5-6,96.9,0,0,0,0,0,0
  7-9,0,0,0,36.22,11.68,0,0
 10-12,0,5.38,0,24.13,17.78,5.54,0
 36-46,0,0,0,5.83,0,0,0
 48-58,0,0,0.85,0.76,0,0,0
 60-70,0,0,0.67,0,0,0,0.76
