stage,blastomeres,endoderm,neural,notochord,paraxial.mesoderm,pronephros,spinal.cord
  3-4,27.23,0,0,0,0,0,0
  5-6,17.83,0,0,0,0,0,0
  7-9,0,0,19.45,4.43,4.15,0,0
 10-12,0,5.52,22.53,0,0,10.23,4.47
