stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,12.23,0,0,0,0,0,0
 14-21,0,1.3,0,0,0,0,0,2.03,0,8.38,0,0,18.88,0,0,15.02,10.64,0,0,0,1.46,69.95,72.58,6.85,0,0,0,0,0
 24-34,0,2.94,1.06,0,6.01,0,0,0,0,8.06,0,0.65,19.91,0,1.52,10.16,50.05,0,0,0,19.1,3.22,11.53,22.94,0,0,2.02,0,0
 36-46,0,0,0.61,0,2.96,0,0,0,0,3.71,0,0,14.18,0,0.72,5.44,57.24,0.57,0,14.25,40.58,1.34,0,13.08,0,0,0,0,0
 48-58,0,0,0,0,4.1,2.2,0.41,1.45,0,4,0,0,4.89,0,5.29,0.42,69.92,0,0.91,0,4.28,0.94,0,13.91,0,0.74,0,0,0
 60-70,0,0,2.05,0,19.95,5.14,0,11.41,0,5.99,0,0,7.43,0,5.87,0,42.98,0,0,0,0,0,0,4.83,0,0,0,0,0
 72-82,0,5.56,2.47,0,52.13,0,0.9,13.93,0.97,1.14,0,1.95,4.22,0,9.9,1.05,79.35,0,0,0,0,0.64,0,0.75,4.4,1.92,1.21,5.18,1.14
 84-94,0,6.5,6.27,0,66.13,0,0,8.97,0,7.9,0,0,3.64,0,0.85,0,34.92,0,1.46,0,0,1.01,0,0.63,16.14,4.53,0,10.76,0
 96-106,0,5.34,10.58,2.29,112.02,0,0,8.45,0,12.93,4.54,1.99,13.36,0,5.81,0,49.67,0,0,0,4.75,0,0,3.31,17.84,7.43,0,7.06,0
108-118,0,3.66,5.19,0,166.24,0,1.96,2.34,0,19.59,3.69,0,8.82,0.44,15.47,1.67,71.8,0,0,0,0,1.73,0,1.9,20.71,4.32,0,24.02,3.61
120,0,15.69,12.79,0,123,0,0,4.83,12.14,4.14,2.51,0,12.67,0,17.72,2.81,62.75,2.06,0,0,0,0,0,4.36,2.39,0,0,38.66,0
