stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,4.75,0,0,6.54,0,2.36,0,0
 24-34,0.7,1.46,1.33,0.68,0,0,0,0,0.76,0,0,0,0,0.77,1.48,0,0,14.86,0,0,1.92,0,2.63,0,0
 36-46,0,0.9,0,1.92,0,0,0,0,0,0,0,0,0,0,0.58,0,1.02,12.41,0,0,8.94,0,2.41,0,0
 48-58,0,0,0,3.38,0,0.44,0.43,0,0,0,0,3.7,1.27,0,4.6,0,0,3.98,0,0.5,6.58,1.35,0.5,0.46,0
 60-70,0,0.62,0,0,0.64,0,3.56,0,0,0,0,0,0,0,0.72,0.9,0,11.08,0,0,4.79,0,0,0,0
 72-82,0,0,0,3.85,0,0,0,0.81,0,0.89,0,0,0,0,2.07,0,0,4.24,0,0.74,0.58,2.13,0,0,0
 84-94,0,0.6,0,0.79,0,1.43,0,5.02,0,2.5,0,0,0,0,0,0,0,1.56,0,0,2.15,4.49,0,7.39,0
 96-106,0,2.59,0,0.7,1.81,0,1.46,3.54,0,7.91,4.24,0,0,0,0,0,0,1.87,2.22,5.64,16.42,2,0,0.7,1.13
108-118,0,1.19,0,0,0,0,0,2.84,0,3.41,1.56,0,0,0,0,0,0,5.05,0,1.12,11.37,0.53,0,0,0
120,0,4.92,0,0,0,0,0,6.91,0,2.81,7.56,0,0,0,0,0,0,6.88,0,1.48,3.28,0,0,6.21,0
