stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.03,0,0,4.83,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,83.89,0,0,7.68,0,0,0,0,0,0,0,0
 14-21,0,1.11,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.44,1.7,0,0,0,0,26.72,0,0,0,0,0
 24-34,0,0,0,0,10.21,0,0,0,0,0.75,0,0,0,0,0,0,0,0,199,5.96,0,0,0,0,111.23,0,0,0,0,0
 36-46,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,4.59,0,1.73,359.66,16.94,0,0,0,0,176.25,0,0,0,0,0
 48-58,0,0,8.24,0,5.78,0,0,0.52,0,0,0,0,0,0,0,21.02,0,0.47,396.92,2.02,1.22,0,0,0,105.17,0,0,1.09,0,0
 60-70,0,0,0,0,35.49,0,0,0,0,0,0,0,0,0,0,38.16,0,0,502.2,1.12,0,0,0,0,115.34,0,0,4.13,0,0
 72-82,0,0,0.91,0,37.22,0,0,7.53,0,0,0.5,0,0,0,0,68.44,0.93,2.32,945.72,5.2,0,0,0,0,65.15,0,0,0,0,0
 84-94,0,0,0,0,34,0,0,4.61,0,0,2.95,0,0,0,0,51.65,0.65,0,528.48,6.82,0,0,0,0,59.21,0,0,0.99,2.23,4.02
 96-106,0,0,4.22,4.46,44.38,1.25,0,34.91,1.38,0,0,0.73,0,1.55,5.59,67.59,0.66,1.29,657.69,5.23,0,0,1.44,0.69,30.94,0,0.76,5.65,0,9.96
108-118,0,0,1.18,8,38.59,0,0.82,111.36,0,0,5.41,0,0,0,0,119.42,0,2.36,691.85,7.14,0,0,0.91,0,29.22,0.68,0,2.51,0,0
120,0,0,5.38,0,63.59,0,0,216.41,0,0,2.45,0,1.91,0,0,45.65,0,3.33,1262.33,8.19,0,0,0,1.79,73.47,0,0,0,0,0
