stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,glial,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste
  3-4,17.23,253.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,253.95,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0
  7-9,0,0,24.76,0,5.83,0,0,0,0,0,0,0,0,66.96,0,8.15,0,0,0,0
 10-12,0,0,7.83,0,0,0,0,0,0,0,0,0,0,23.77,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,0.91,0
 24-34,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,1.66,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 48-58,0,0,0,7.72,0.93,0,1.19,0.45,0,4.61,0,0,0,1.43,0,0,0,0,0,0
 60-70,0,0,0,2.68,0,0.58,0,1.17,0,0,0,0,0.57,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,4.95,0,0,1.24,0,0,2,0,0,0,0,0,0
 84-94,0,0,0,5.13,0,0,1.81,0,0.91,0,0,0,0,0,0,0,0,0,1.39,4.6
 96-106,0,0,0,13.77,6.12,1.06,1.73,2.47,0,0,3.31,0,0,0,0,0,1.26,0,0,5.44
108-118,0,0,0,17.94,0,0,2.39,0.74,0,0,2.9,1.98,0,0,0.95,0,0,0,0,10.26
120,0,0,0,7.42,0,0,0,0,0,0,0,0,0,19.96,0,0,0,0,0,4.22
