stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,189.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.37,0,0,0,0,0,0,0,0,0
  5-6,12.93,41.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.35,0,0,0,13.75,0,72.69,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,49.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.15,10.13,0,0,8.22,0,33.02,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.39,80.14,0.94,0,0.81,0,1.39,0,0,0.85,3.4,0.92,1.96,24.53,0,0,0,0,1.82,1.81,0,18.35,0,1.55,1.9,0,0,119.46,0.86,0,0,0,0,0,0,0,0
 24-34,0,0,0,4.03,179.82,0.83,0,0,0,18.25,0,3.13,2.72,0,0.82,7.45,115.83,0,2.14,0,0,0,15.93,0.81,74.16,1.35,5.03,4.54,0,0,621.17,0,2.45,0.9,13.56,0,0,3.34,0,0
 36-46,0,0,0,0,153.31,0,0,2.93,0,33.16,0,2.11,0.61,1.6,1.67,3.2,81.36,0,3.29,1.14,0,2.49,25.49,2.6,108.88,0,17.01,11.56,0,0,725.08,0,0,0,20.08,0,0,10.14,0,0
 48-58,0,0,0,0.43,83.51,0,0,10.42,0,58.84,0,2.93,0.94,3.95,0,7.03,18.23,0,1.67,1.49,0,8.21,20.94,0,100.94,0,4.8,0.81,0,0.45,559.1,0,0,0,13.24,0,0.85,0,0,6.78
 60-70,0,0,0.57,0,110.05,0.79,0,29.43,1.01,51.36,0,8.86,0.96,4.2,0,28.86,12.8,0,6.16,3.56,0,3.48,12.02,0,58.76,1.38,7.52,0.71,0,0,401.85,0,0.68,0,13.84,2.74,0,1.77,0,0
 72-82,0,0,4.39,1.31,77.66,2.45,0,7.35,0,34.7,1.34,3.51,3.63,0,0,14.79,24.87,0,2.36,3.49,0,6.96,24.43,0,82.65,0,8.75,10.5,0,0,287,0,0,0,3.28,18.57,0,6.65,0,0
 84-94,1.23,0,0,0,181.99,0.81,0,41.01,0,63.97,0,2.58,8.22,1.4,0.8,42.7,48.87,0,1.49,4.48,0,3.07,19.47,0,35.32,0,4.18,2.4,0,0,785.96,0,2.78,0,2.14,41.07,0,5.42,0,8.86
 96-106,0,0,0,3.85,208,20.41,2.52,40.54,0.76,49.57,0.89,0.57,38.02,0,0,40.75,59.75,1.03,6.59,4.29,0,20.32,21.75,0,60.81,0,10.37,8.75,0,1.57,641.53,0,0,0,8.84,50.41,0,0,5.23,3.81
108-118,0,0,0,0,241.98,2,0,24.99,0,76.64,1.46,6.86,36.96,0,0,35.29,53.95,1.05,8.04,3.02,0.52,7.87,38.64,0,43.47,0,5.28,9.68,0,0,549.09,0,1.52,0,1.8,62.02,0,1.21,0,0
120,0,0,3.01,0,359.66,3.69,0,24.79,0,56.07,0,17.81,48.44,0,0,52.98,36.35,0,24.21,5.66,0,5.03,12.86,0,71.16,0,3.57,8.25,0,0,296.6,0,0,0,0,26.55,0,1.25,0,0
