stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,neural
 14-21,0,0,0,0,0,0,0,0,0,0,0.89
 48-58,0,0,0,0,0,0,0,0,0,0.45,5.35
 60-70,0,0,0,0,0,0,0,0,0,0,0.91
 72-82,0,0,0,3.15,0,0,0.76,0,0.9,0,0
 84-94,0,0,0,0.67,0,0,2.66,0,0,0,1.38
 96-106,1.41,0,0,0,0,2.28,22.76,0.62,0,6.29,3.44
108-118,0,2.4,0.66,0,2.11,0,29.71,0,4.41,0,10.87
120,0,0,0,0,0,0,45.05,0,0,0,0
