stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,somites,spinal.cord,vascular.smooth.muscle
  3-4,21.57,79.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.55,158.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.15,0,5.62,0,7.43,0,0,0,0,68.25,4.99,45.17,0,0,0
 10-12,0,0,23.7,0,0,0,3.88,0,0,0,0,73.05,0,45.14,0,0,0
 14-21,0,0,0,0.81,0,0,0,0,0,0,0,3.75,0,0,0,1.67,0
 24-34,0,0,0,0,0.83,0,0,0,0,1.35,0,4.76,0,0,0.6,3.13,0
 36-46,0,0,0,0,0,0,0,0,0,0.65,1.06,7.93,0,0,0,2.55,0
 48-58,0,0,0,0,1.39,0,0,0,0.53,0.5,0,1.64,0,0,0,2.08,0
 60-70,0,0,0,0,1.59,2.01,0,0,0,0,0,1.03,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,3.25,0,1.66,0,0,0,0,0.8
120,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0
