stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.98,1520.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.84,1514.36,0,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,0,63.36,15.73,0,0,19.24,0,17.81,0,0,0,0,0,0,0,0,0,0
  7-9,14.65,11.42,0,26.32,0,0,0,51.09,0,0,0,0,0,6.85,0,0,0,0,0,0,0,0,0,0,483.39,34.78,0,0,248.37,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.93,0,76.69,0,4.44,0,27.24,0,0,0,0,0,9.13,0,0,0,0,0,0,0,0,0,0,611.68,22.38,0,0,214.91,0,0,0,13.3,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.75,35.46,6.66,0,6.48,0,0,0,7.66,2.99,0,0,0,10.89,0,0,0,0,18.73,0,11.63,248.33,1.15,1.54,3.85,0.98,0,2.81,32.75,1.05,1.34,22.74,59.81,0,0,1.23,0,0
 24-34,0,0,0.61,3.69,7.89,1.68,0,31.98,0,0,0,10.59,0.67,0,0,0,0,0.7,0.67,0.9,0.98,28.68,0,7.16,399.06,0.63,0.87,3.04,0,0,9.93,0,0,0,4.87,59.82,0,0,12.91,0,12.17
 36-46,0,0,0,0,3.11,0,0,58.82,0,0,3.55,11.48,0.95,0,0,6.82,0,0,0,0,0,45.98,2.34,8.53,324.69,0.56,2.02,0.61,0,0,4.14,0,0.59,0,0,60.18,0,0,4.63,0,0
 48-58,0,0,0,0,7.21,0,0,72.12,0,0.4,1.13,21.28,4.62,0,1.95,2.06,0,0,1.55,0,0,30.1,1.63,3.69,268.77,0,1.14,6.41,0,0,4.16,0,0,0,0,58.11,0,0.51,6,0,0
 60-70,0,0,0,0,10.01,0,0,66.69,2.9,0,3.93,16.17,1.57,0,0,0,0.64,0,5.48,0,0.86,40.46,0.93,3.64,205.44,0,0,5.78,0,0,6.96,0,0,0,0,17.33,0,0,16.14,0,1.39
 72-82,0,0,0.58,0,3.54,1.23,0,105.96,0,0.5,1.36,26.02,0.53,0,5.93,0,2.84,0.93,3.06,0,4.05,43.9,2.6,6.04,160.84,0,0,2.28,0,0,6.35,0,0,0,0,13.74,0.82,0,12.88,0.91,9.7
 84-94,0,0,0,0,7.11,0.81,0,45.31,0,0,7.74,7.1,2.19,0,0,0.83,0,0.76,0,0,0,39.81,0,6.62,90.02,2.68,0.8,0.72,0,0.6,13.48,0,0.6,0,0,2.72,0,0.84,1.08,0.72,0
 96-106,0,0,0,0,3.12,1.39,0,32.69,0,0.84,0,21.13,0.66,0,1.68,1,0.73,0,1.71,0.62,0,27.02,0,2.06,39.14,0,2.72,4.73,0,0,4.26,0,0,0,0,1.07,0,0.78,0.56,0,0
108-118,0,0,0,0,2.27,0,0.57,49.11,0.46,0,0,28.55,0.47,0,0.71,1.57,0,3.66,0,0.95,0,35.75,2.62,6.93,120.3,0,0,0,0,0,2.8,0,2.37,0,0,1.33,0,0.66,2.33,1.48,2.13
120,0,0,0,0,8.76,0,0,21.21,0,6.25,0,23.35,0,0,0,7.01,0,0,0,0,0,44.54,8.98,7.29,136.71,0,0,2.3,0,0,6.7,0,1.13,0,0,0,0,0,9.87,0,0
