stage,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.44,0,0,0,0,0,0,0,0
 10-12,23.29,0,0,0,0,0,0,0,0,0,0,0,0,0,257.04,0,0,0,3.84,0,0,0,0
 14-21,2.5,72.46,0,0,0,0,0,4.27,0,1.33,0,0,0,0,5.42,2.3,1,107.66,0,0,0,1.04,0
 24-34,2.16,13.17,0,0,0,0,0,0,0,0.93,0,1.77,1.27,1.24,15.97,0,3.87,3.35,0,0.61,0,1.81,1.54
 36-46,0,1.83,0,0,0,0,0,0,0,2,0,0,0,0,23.7,0,0,0.62,0,0,0,2.07,0
 48-58,0,2.64,0,4.77,0,0,0,2.01,0,1.48,0,0,0.69,0,20.8,0,0,7.73,0,0,0.62,1.65,0
 60-70,0,0,0,23.43,0,0,0,4.47,0.82,0,0.72,0,2.01,0,7.55,0,0,0.58,0,0,0,1.19,0.64
 72-82,0,2.94,0,46.36,0,0,1.84,11.47,5.69,0,0,0,3.1,0,8.22,0,0,6.97,0,0,0,0,0
 84-94,0,5.42,0,115.23,0,0,0,11.77,1.43,1.21,0,0,0,0,5.06,0,0,0.62,0,1.69,0,0.91,0
 96-106,0.72,3.35,0,130.48,0,0.72,1.09,34.85,2.99,0,8.43,0,4.97,0,2.15,0,0,1.2,0,3.57,0,0,0
108-118,1.41,0,1.05,178.75,0.54,0,5.79,75.73,10.95,0,0.84,0,10.5,0,11.76,0,0,3.24,0,0,0,0,1.26
120,0,0,0,60.46,0,0,7.06,81.94,8.72,0,0,0,2.48,0,39.69,0,0,2.44,0,0,0,0,0
