stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,olfactory,otic,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,11.37,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.65,0,0,0,0,0,0,0,0,0
 14-21,0,0.84,0.8,0.88,0,0,0,0,0,0,0.93,16.49,0,0,0.81,0.93,1,0,0.89,0,0
 24-34,0,2.98,0.74,0,0,1.31,0,0.83,0,4.82,1.17,90.32,1.55,0,0,0.65,14.32,0,0,0,0
 36-46,0,0,4.4,0,0,6.4,0,0.65,0.6,3.83,0,227.08,0,0,0,0,6.97,0,0.61,0,4.12
 48-58,0,0,47.63,0,0,22.06,0,0,0,6.23,1.56,571.71,2.22,0,0,0,28.69,0,0,0,0
 60-70,0,5.42,31.07,0,0,21.51,0,0,0,6.96,1.02,591.06,2.29,0,0.59,0,47.76,0.57,0,0,0
 72-82,0,0,74.99,1.99,0,8.22,0.64,0,0,4.75,1.19,504.7,5.21,1.95,0,0,52.93,0,0,0,4.13
 84-94,0,7.92,44.35,0,0,4.87,0,0,0,9.07,1.32,354.45,4.72,1.4,0.9,0,48.42,0,0,0,0
 96-106,0,0,34.04,0,0,10.76,0,0,0,5.01,0,300.75,11.33,3.7,0,0,5.07,0,0,0,0
108-118,0,1.41,24.63,0,0.62,10.37,0.75,0,0,5.31,0,336.87,7.49,0.98,0,0,7.82,0,0,0.98,0
120,0,5.87,19.63,1.21,0,2.23,0,0,0,3.38,0,380.21,0,0,9.87,0,0,0,0,0,0
