stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,periderm,somites,spinal_cord,vasculature
  3-4,59.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,58.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.67,7.16,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,13.63,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.04,0,0.87,1.23,0,0,1.15,0.96,0
 24-34,0,4.12,1.53,0,0,0,0,0,0.88,0,0.63,15.64,0,0,0,2.32,0
 36-46,0,0,1.05,0,0,0,0,0,2.97,0,0,21.32,0,0,0,17.99,0
 48-58,0,0,10.85,0,0.96,0.51,0,0,1.3,0,0,69.1,0,0,0,1.77,0.56
 60-70,0,0,12.47,0,0,0,0,0,5.68,0,0,63.5,0,0,0,11.32,0
 72-82,0,2.29,25.47,0,2.77,0,0,0,25.36,0,0.51,205.68,0,0,0,0.92,0.51
 84-94,0,0,15.38,0,0,0,3.21,0,19.54,0.72,0,164.88,0,0,0,7.16,0
 96-106,0,0,18.04,0.57,0.64,0,1.69,1.03,22.86,0,0,114.72,0,0.8,0,0,0
108-118,0,0.47,3.57,0,2.91,0,2.47,0,25.85,0,0,148.06,0,0,0,1.88,0
120,0,4.67,5.86,0,4.74,0,1.06,0,4.26,0,0,224.43,0,0,0,3.82,0
