stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature
  3-4,47.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.18,0,0,0,0,0,0,0,21.43,0,0,0,8.73,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,16.49,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.97,0,0,0,0,0,0,0,0,10.83,0,0,0,0,2.81,0.91,0,1.95,0
 24-34,0,0.64,0,0,0,0,1.49,0,0,0.68,0,1.02,7.71,2,0,0,0,0.63,0,0.6,0,0
 36-46,0,0,0,0,0.88,2.04,0,0,0,5.59,3.65,0,29.18,0,0,0,0,0,0,0,1.75,0.73
 48-58,0,0,0,0,1.17,0,0,0,0,0,0,0.44,32.26,1.36,0,0,0,1.28,0,0,6.07,1.99
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,89.07,0,0,0,0,0.61,0,0,1.65,0
 72-82,0,0,0,4.59,5.15,0,4.84,0,1.17,5.35,0,0,72.5,0,0,0.76,0,0,0,0,0,0.96
 84-94,0,0,0,0,4.99,0,1.34,0,0,0,0,0,51.92,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,7.19,0,0,0,0,0,0,0,82.66,0,0,0,0,0,0,0,9.02,0
108-118,0,0,0.56,0,11.21,0,0,1.66,0,5.44,4.07,0,68.79,0,0,1.28,0,1.7,0,0,0,0.59
120,0,0,0,0,10.43,0,8.41,0,0,5.13,0,0,195.32,0,2.88,0,0,0,0,0,0,0
