stage,blastomeres,endocrine_pancreas,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,85.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,7.31,0,0,0,0,0,0,0,0,0
 10-12,5.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.84,0,0,0,16.7,0,0,0,7.87,0,0,0,0,0
 14-21,0,0,1.81,0,0,0,0,1.25,0,0,0,0,0,1.01,0,0,7.27,0,0.93,0,0,0,2.21,4.05,0,1.09,1,0,0,0
 24-34,0,0,1.43,0,1.27,0,0,0,0,0,0,1.12,0,0,0,0,20.59,0,0,0,0,0,7.23,0,0,0,4.66,0,0,0
 36-46,0,0,0,0,1.24,8.12,0,0,1.06,0,0,0,5.06,6.26,0,0,16.14,0,0,0,0,0,0,0,0,0,3.38,0,0,4.17
 48-58,0,0,1.54,0,3.56,0,0,5.17,0,0,0,0,1.64,0.88,0,0,14.38,0,0,0,0,0,0,0,0,0,1.83,0,0,0
 60-70,0,0,2.3,0,17.99,0,0,0,0,0,1.08,0,1.41,0.64,0,2.02,9.65,0,0,0,0,0,0,0,0,0,1.16,0,0,1.49
 72-82,0,1.15,0,0,8.44,0,0,0,0,0,0,0,15.35,5.66,0,0,8.09,0,2.17,1.4,0,3.01,0,0,0,0,0,0,0.72,0
 84-94,0,0,1.31,0,7.28,0,0,0,0,0.56,0,0,14.38,0.56,0,0,12.49,1.54,0.64,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,5.6,0,1.05,2.52,0,1.31,1.48,0,0,0,2.1,51.49,1.21,0.58,0,12.5,0,1.71,0,0,0,5.09,0,0,0,2.9,0,0,0
108-118,0,0.91,0,0,12.49,0,2.03,0,0,0,0,0,122.2,3.82,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0.71,0,1.47
120,0,0,2.96,0,3.94,0,0,0,0,0,0,0,43.47,1.46,0,0,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0
