stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature
  5-6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,24.21,0,0,0,0,0,0,0,0,0,50.93,0,9.56,0,0,0,0,0
 10-12,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,49.71,0,10.69,0,4.37,0,0,0
 14-21,0,0,6.08,0,0,0,0,0.82,0,0,0,0,0,0,3.32,0,0,0.99,0,0,0,0
 24-34,0,0,2.29,0,0,0,0,0,0,0,0,0,0,8.27,0.84,1.16,0,0,0,0,0.96,3.2
 36-46,0,0,11.28,0,0,0,0,0,0,0,0,0,5.33,0,3.5,0.63,0,0,0,2.63,1.88,0
 48-58,0,0,0,0,1.82,0,0,0,0,0,0,0,0.48,0,2.54,0,0,0,0,0,1.32,0
 60-70,0,0,5.67,0,0,1.46,0,2.53,0,0,0,0,1.47,0,5.21,0,0,0.81,0,0.67,0,0
 72-82,0,0,0,0,1.22,0,0,13.2,0,0.7,0,1.03,0.65,0,4.91,0,0,0,0,0,1.29,0
 84-94,0,0,0,0,0,0,0,24.4,1.35,0,0,4.25,0,0,3.35,1.17,0,0,0,1.16,0,0
 96-106,0,0,1.48,0,2.43,0,0,70.86,0.87,0,0,0,0,0,10,2.96,0,0,0,0,0,0
108-118,0,3.03,0.91,0.56,5.54,0,1.68,142.82,3.89,0,0.43,1.09,0,0,11.85,1.36,0,1.83,0,0.92,1.49,0.92
120,0,0,0,0,0,0,0,251.15,26.61,0,0,10.6,1.7,0,16.13,18.24,0,0,0,0,0,4.33
