stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,19.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09,0,0,0,39.84,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1014.03,0,7.24,0,0,0,0,0,39.93,0,0,0,0,0,3.02,0,0,2.81,16.05,0,0,0,0,0,0,0.84,0,1.91,2.75,0,0,0,790.14,0,0
 24-34,0,0,0,0.59,1.71,175.88,0,10.65,0,0,0,0,0,184.06,0,5.07,0,1.33,0,39.12,0,0,3.53,172.44,0,0,1.08,0,3.82,4.63,0,2.28,0.99,4.69,16.75,0,0,4314.98,0,1.71
 36-46,0,0,0.85,0,2.26,88.94,0,62.07,0,0,2.42,1,0,118.61,0,6.06,0,0,2.18,48.26,0,0,7.86,219.9,0.7,0,0,0,3.38,0.66,0,0,0,0,69.08,0,0,2897.61,0,3.34
 48-58,0,0,0,0,3.08,19.08,0,70.57,4.33,0,0.57,3.98,0,197.71,0,0,0,0,0,30.24,0,0,5.6,290.89,0,0.87,1.21,0,0,1.17,0,0,7.15,0,132.7,0,0,2394.09,0,5
 60-70,2.52,0,0,0,10.6,16.22,0,538.17,0.83,0,0,6.22,0,213.07,6.65,0,10.49,0,0,53.79,1.09,2.6,29.92,216.51,0,0,0,0,5.6,0.73,0,13.06,0,0,95.22,0,0,1879.33,0,3
 72-82,0,0,0,0,3.38,1.81,0,789.15,0,0.6,1.37,17.85,1.1,195.11,1.53,0,2.3,0,0,34.44,0,2.63,2.77,264.94,1.39,0,0.88,0,3.37,0.72,0,0,0,0,65.45,0,5.99,3465.21,4.74,0
 84-94,0,0,0,0,3.6,0,0,619.83,0,2.62,0.91,19,5.32,142.1,0,1.49,4.86,0,0,37.79,0.89,7.8,12.18,220.63,0,2.19,0.88,0,6.38,3.28,0,0,0,0,41.78,0.71,2.74,3231.13,0,0
 96-106,0,0,0,0,21.29,87.13,0,816.05,2.99,0,0,17.98,1.89,213.82,1.59,0,11.47,7.7,0,39.12,0,0.63,3.31,271.43,0,0,2.91,0,6.5,4.55,0,6.03,0,0,18.98,0,0,3339.09,5.53,0
108-118,1.9,0,1.15,0,12.85,21.67,0.5,654.13,0.42,3.88,0.79,5.74,0,132.59,1.43,0.85,18.06,6.03,0,50.24,2.35,0,6.32,255.85,0,0.79,4,0,7.92,1.52,0,9.25,0.53,0,0,0,0,2707.25,2.1,0
120,0,0,0,0,15.05,23.19,4.04,364.83,0,0,0,11.19,4.66,193,0,2.65,20.61,0,0,18.25,3.43,0,0,329.28,0,0,0,0,4.76,3.94,0,0,0,0,0,0,0,3166.79,0,0
