stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature
  7-9,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,4.55,10.43,0,6.19,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.48,0,0,3.23,0,0,4.95,0,0,0,0
 14-21,0,0,2,0.89,0,0,0,0,0,0,0,1,0,0,8.71,0,0,0,0,0,0,0.94,0,0,1.1
 24-34,0,0,1.43,0,0.63,0,0,0,0,0,0,0,0,0.92,3.08,0,0,0,0,0,0,0,0.89,0,0.68
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,4.83,0,0,0,0,0,0,0,0.67,0,0
 48-58,0,0,0,0,0,0,0.67,0,0,0,0,0.37,0,0.84,0,0,0,0,0.47,0,0,0,1.24,0,0
 60-70,0,0,0,0,1.93,0,0,1.36,0,0,0,1.05,0.58,0,2.36,0,1.02,0,0,0,0,0,0,0,0
 72-82,0.56,0,0,0,0,0,0,0.53,0,0,0,1.8,0,0,1.98,0,0,0,0,4.15,0,0,0,0,0
 84-94,0,0,0,0,0,1.77,0,0,0,0.7,0,0.63,0,0,2,0,0,0,0,3.17,0,0,0,0,0
 96-106,0,0,0.63,0,0,1.1,1.73,0,0,0.72,0,4.99,0,0,2.05,0,0,0,0,4.42,0,0,0,0,0
108-118,0.57,0,0,0,0,0,0.86,1.55,0.66,0.49,0,1.28,0,0,1.34,0,0,0,0,3.77,0,0,0,3.03,0
120,0,0,0,0,0,0,0,0,0,2.39,1.18,0,0,0,0,0,0,0,0,1.04,0,0,10.36,0,2.39
