stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,10.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.42,8.27,0,4.28,0,0,12.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.07,4.5,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.71,0,27.69,0,5.1,17.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326.24,18.51,0,0,46.72,0,6.67,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.88,96.65,28.82,9.7,0,1.67,0,2.4,4.76,0,8.06,0,0.86,0,0,3.13,0,53.39,0,0,27.4,103.72,13.24,0,6.12,2.28,0,1.89,3.15,11.4,6.77,28.88,30.56,0,0,16.21,0,1.85
 24-34,0,0,0,3.64,25.28,4.51,25.21,0,11.1,1.43,9.72,2.15,0,22.57,0,1.84,0.97,1.95,9.22,10.79,84.81,0.77,4.09,38.81,151.47,3.45,0.71,5.75,0,0,8.03,0.76,7.8,0,3.08,33.63,0,0,67.23,0,4.6
 36-46,0,0,0,0,39.84,3.98,11.33,2.64,29.85,5.76,28.73,2.67,0,10.41,1.69,0,4.65,0.91,2.42,23.68,124.29,1.16,2.48,42.05,133.47,1.33,0,5.77,0,0,11.63,0,4.23,0,0,80.27,0,0,55.57,0,38.51
 48-58,0,0,0,0,16.6,0.56,49.41,1.71,10.29,10.37,50.56,0.38,0.37,14.5,6.31,0,10.32,3.7,2.39,26.77,137.36,0,9.85,31.19,121.99,0.51,0.88,18.76,0,1.06,27.6,2.68,9.95,0,0,48.07,0,0.89,47.31,0.5,57.43
 60-70,0,0,0,0,33.58,0,64.74,3.03,20.57,7.13,62.81,1.55,0,7.46,20.2,1.18,19.66,5.7,0,7.65,152.24,2.63,26.78,38.52,132.23,0.57,0,5.57,0,7.2,35.9,0,9,0,0,55.24,0,12.05,30.47,0,25.45
 72-82,0,0,0.5,0,17.89,0,66.48,1.14,11.06,8.22,104.28,2.64,0.59,6.42,3.73,1.6,27.48,5.61,3.71,21.85,216.42,2.89,25.05,25.94,69.94,0,0.58,13.24,0,4.4,55.77,0,3.24,0.55,0,8.93,0.5,7.59,68.23,8.81,28.22
 84-94,5.55,0,0,0,34.79,7.21,63.15,3.35,22.92,13.48,97.67,8.6,0,10.43,19.49,2.58,11.43,3.59,0.82,29.09,190.2,0.75,33.57,19.88,75.16,3.85,1.31,18.35,0,4.25,139.22,0,8.8,0,0,14.86,0.81,12.5,80.24,8.67,55.82
 96-106,0,0,0,0,26.92,3.06,48.17,0.71,41.93,3.76,112.24,7.86,0,18.97,18.41,4.66,24.94,6.24,13.12,6.61,197.32,0,26.41,31.77,69.93,2.46,1.29,9.1,0,10.38,164.12,0,0,5.12,0,20.76,0,13.89,80.61,11.05,41.87
108-118,0,0,0,0,51.98,3.15,55.75,0,22.06,8.5,127.79,8.15,0,8.6,26.21,3.52,39.41,2.16,6.85,43.46,185.65,3.63,23.09,14.78,82.59,9.16,0.67,16.37,0,11.94,119.33,0,3.62,0,0,13.07,0,11.03,95.57,14.46,44.02
120,0,0,1.73,0,56.95,1.79,38,1.02,19.58,1.6,104.7,2.8,0,6.85,37.25,1.07,6.64,2.05,5.65,4.69,291.84,0,67.32,16.68,122.86,13.12,2.73,4.86,0,50.51,92.52,0,1.56,1.52,0,3.82,0,2.68,59.08,2.31,39.18
