stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,27.96,671.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,0,0,0,0,0,0
  5-6,24.53,517.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0
  7-9,7.32,16.43,0,11.07,0,0,0,28.06,0,0,0,0,13.98,0,0,0,0,0,0,0,0,0,356.87,27.91,0,130.18,4.34,0,0,0,0,0,0
 10-12,0,17.66,0,10.44,0,0,0,21.13,0,0,0,0,6.22,0,0,0,0,0,0,0,0,0,247.04,0,0,109.94,0,0,9.16,7.48,0,0,0
 14-21,0,0,0,0,2.92,0,0,0,0,0,0,0,0,0,0,6.84,0,0,0,0,0,0,0.92,0,0,0,0,3.05,0,0,4.28,0,0
 24-34,0,0,5.34,0,0,0,0,1.01,0,0,0,0,0,0,0,17.2,0,0,0,0,0,0,15.82,0.83,0,0,0,0,0,0,0.72,0,0
 36-46,0,0,34.55,0,0,0,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,31.55,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,14.98,0,0,0,0,4.36,0,0,5.67,0,0,0,0,0,0,0,0,2.22,0,0,153.46,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,5.42,0,5.42,0,0,10.28,0,0,70.64,0,0,0,2.51,0,0,0,0,3.01,0,5.09,589.35,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,11.15,0,0,179.73,272.97,0,0,0,0,0,0,0,5.68,0,0,936.4,0,2.86,0,0,0,0,0,1.37,0,0
 84-94,0,0,8.7,0,10.89,0,0,65.69,0.84,0,1.31,165.89,0,0,0,12.04,0,0,0,3.84,0,0,1053.7,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,5.96,0,13.08,0,0,28.39,5.09,0,124.11,676.59,0,2.93,3.25,1.1,0,2.35,49.69,1.69,0,0,1637,0,0,0,18.07,0,0,0,0,0.85,1.22
108-118,0,0,1.14,0,2.24,1.76,0.73,14.17,0,1.12,698.42,582.64,0,0,0,6.88,26.23,0,0,5.78,0.61,0,1367.91,0,0,0,0,0,0,0,32.12,0,1.86
120,0,0,0,0,0,0,0,25.41,0,0,90.79,967.15,0,0,2.88,0,0,0,0,14.08,0,0,1132.36,0,0,0,0,0,0,0,0,0,0
