stage,eye,glial,mesenchyme,neural,otic,spinal_cord
 14-21,0,0,0,9.24,0,0.86
 24-34,0,0,0,5.84,0,4.29
 36-46,0,0.89,0,17.94,0,2.27
 48-58,0,1.33,0,5.04,0,2
 60-70,0,4.03,0,4.56,0,1.06
 72-82,0,1.18,2.84,1.56,0,0
 84-94,0,1.76,0,0,0,0
 96-106,0.8,0,0,0,0,0
108-118,0,0,0,0.93,0.52,1.43
