stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,81.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.68,0,0,0,0,0,0,0,0,0,8.14,0,0,0,0,0,0,0,0,0,0,0,51.92,0,0,0,6.39,0,0,0,0,0,0,0,0,0
 10-12,0,0,23.21,0,0,0,20.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.94,0,0,0,11.58,0,0,11.28,0,0,0,0,0,0
 14-21,0,0,0,1.18,0.89,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37,0,0,1.03,14.26,0,0,0,0,0,0,0,0,13.44,0,0,0,0
 24-34,0,1.05,0,1.73,0,0,1.89,0,0,0,0,0,0,0.8,0.88,0,0.63,0,0,0.73,2.91,0,0,0.67,57.31,0.59,3.67,0,0,0,10.29,0,0,18.79,0,11.15,0,7.09
 36-46,0,0,0,1.69,0,0,2.59,1.63,5.91,0,1.96,0,0,0,0,0.73,0,0,0,27.61,3.29,0,0,1.23,157.08,2.25,1.06,0.83,0,0,0.78,0,0,37.68,0,10.36,0,9.78
 48-58,0,0,0,0.67,0,0,12.55,0.97,0,0.7,11.97,0.45,0,0,4.37,0,11.69,0,0,27.58,8.29,0,0,0.51,238.88,0.97,4.36,0.59,0,0,1.52,0,0,34.38,0,4.51,0,31.79
 60-70,0,0,0,0.63,0,0,74.04,0,0,0,22.95,0,0,0,0.99,0,7.71,0,1.2,3.5,25.16,0,0.7,0,370.28,0,5.2,0,0,0,5.82,0,0,42.31,0,6.22,0,19.55
 72-82,0,1.33,0,2.92,0,0,143.51,0,0,1.79,54.61,0.94,0,0,1,0.64,5.18,1.25,0,8.33,50.04,0.59,0.54,0.92,391.28,0.5,1.28,3.15,0,0,1.62,1.58,0,42.31,0.93,9.56,0,16.84
 84-94,0,0.94,1,5.95,0,0,136.52,0,0,6.59,38.62,0,0,0,5.64,0.74,11.42,5.03,0,21.59,32.95,0,0.94,0,246.08,0,0,2.74,0,0,8.86,0,0,19.14,1.5,3.99,0,23.38
 96-106,0,0.9,0,7.67,1.47,1.43,116.92,0,4.11,0.64,40.36,0.67,0,0,5.02,0.93,4.14,3.67,11.18,0.68,27.08,0,0.7,0,284.31,0,6.03,2.49,0,0,15.98,0,0,12.05,0,2.66,4.31,9.49
108-118,0,1.39,0,9.58,0,1.59,99.96,0,0,2.15,40.55,6.64,0,0.71,1.59,0,6.03,0.86,1.1,8.99,46.54,0,0,5.09,333.07,0,6.09,2.45,0,2.98,3.89,0,0.43,5.58,0,4.79,0.92,20.78
120,0,0,0,12.62,1.69,0,94.71,0,0,0,36.45,3.02,0,0,16.13,0,3.65,0,0,21.76,33.7,0,0,4.28,425.88,1.17,10.94,0,0,0,1.49,0,0,44.55,0,9.39,0,2.08
