stage,exocrine_pancreas,eye,glial,immune,neural,periderm,vasculature
 14-21,0,0,0,0,0.99,0,0
 24-34,0,0,0,4.76,1.2,0,0.77
 36-46,0,0,0.99,15.86,4.2,0,4.88
 48-58,0,0,0,11.34,2.22,0,0.85
 60-70,0,1.13,0,15.07,7.99,0.99,0.87
 72-82,0,7.5,0,14.17,3.51,0,3.12
 84-94,0,0,0,11.57,0,0,2.05
 96-106,0,0,0,13.91,2.5,0,3.48
108-118,0.56,0,0,20.37,0,0,4.85
120,0,0,0,18.91,11.06,0,2.97
