stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.43,291.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.51,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.82,748.91,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,20.45,0,17.51,0,0,0,0,0,0,0,0,0,0,0
  7-9,35.73,29.66,0,55.09,0,0,84.49,0,0,0,0,0,33.32,0,0,0,0,0,0,0,0,0,0,768.97,27.98,0,0,251.62,0,0,17.61,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.23,0,119.4,0,0,60.16,0,0,0,0,0,19.22,0,0,0,0,0,0,0,0,0,0,729.52,52.6,0,0,318.39,0,0,0,0,43.39,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,29.11,0.86,9.03,0,0,0,2.74,5.42,2.12,0,0,1.81,0,0,0,7.62,0,0,11.78,97.48,1.35,0,0.87,2.64,0,6.36,0.9,17.19,2.36,4.79,21.51,25.97,0,0,0,0,0
 24-34,0,0,0,0.77,20.09,1.27,27.52,0,5.08,4.02,13.93,0,0,0.67,0,0,0,4.96,0.95,57.29,1.96,0,33.49,431.64,8.26,5.35,3.57,0,0,18.19,0,0.85,2.36,0,12.72,100.34,0,0,41.53,0,0.92
 36-46,0,0,0.73,0.84,2.88,0.73,38.78,0,0.64,9.27,23.08,1.34,0,3.84,0,0.58,1.81,3.67,7.53,79.62,0,3.7,17.87,342.85,0,4.58,6.66,0,0,14.61,0,0,0,0,0,86.55,0,0,6.1,0,5.07
 48-58,0,0,0,0,12.78,2.61,64.64,0,3.07,11.25,23.01,0.39,0,1.3,2.55,0.92,0,0.37,1.61,71.91,0.82,0.85,9.01,262.14,2.42,3.89,4.25,0,0,9.39,0,0,0,0,0,49.25,0,0.61,6.91,0,0
 60-70,0,0,0.82,5.18,15.2,4.19,177.28,0,0,8.87,39.83,0,0,0,2.18,3.58,0,1,1.82,134.69,1.09,6.23,8.82,300.84,0,10.04,1.45,0,0,16.99,0,0,0,0,0,60.86,0,2.69,5.19,0,0
 72-82,0,0,1.92,0,10.23,4.65,117.93,0,5.43,16.06,33.56,2.2,0,0,5.44,1.25,3.07,3.63,1.68,76.96,0,5.17,3.14,207.68,0,12.3,7.12,0,0.71,14.75,0,0,1.72,0,0,22.26,1.95,0.94,14.9,2.95,1.16
 84-94,0,0,0,0,4.71,0.68,54.84,0,0,9.87,11.86,3.72,0,1.12,6.51,0,0,2.52,11.31,72.68,1.14,2.38,0.65,81.74,1.46,7.87,3.17,0,0.83,13.95,0,0,2.39,0,0,11.92,3.05,3.22,15.43,0.81,0
 96-106,0,0,2.51,0,24.45,10.86,84.36,0.62,1.87,1.75,15.36,2.18,0,0,11.03,3.38,1.59,3.31,10.53,28.22,0.69,0,2.26,80.66,0.62,7.78,9.71,0,0.83,28.55,0,0,0.73,0,0,2.15,0.81,0,23.52,6.25,0
108-118,0,0,0,0,20.58,9.22,71.28,0,2.4,8.45,32.57,3.09,0,0,7.33,2.42,0,3.63,1.1,54.84,1.29,2.08,0,145.06,0,11.59,8.23,0,0,19.35,0,0,1.07,0,0,3.72,5.69,8.22,14.54,2.77,0
120,0,0,0,0,30.38,7.62,61.55,0,2.25,0,27.91,4.65,0,0,12.52,0,1.58,1.15,0,40.54,3.54,0,0,114.06,2.01,40.03,16.28,0,0,23.62,0,0,0,0,0,0,0,0,6.55,0,0
