stage,endoderm,glial,neural,olfactory,spinal_cord
 14-21,1.03,0,0,0,1.02
 36-46,0,0,0.85,0,0
 48-58,0,1.97,0,0.47,0
 72-82,0,0,0.7,0,0
120,0,0,3.35,0,0
