stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,ionocyte,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,0,0,0,0,0,0,0,0,0,4.73,0,0,4.96,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.14,0,2.58,0,0,0,0,1.82,0,1.07,13.17,2.16,0.89,0.82,0,0.93,0,5.11,0,0,0,0
 24-34,0,0,0.93,0,1.33,0,0,0,0,1.76,0,0.7,22.75,0,0,0,1.27,0,0,6.78,0,0,0,0
 36-46,0,0,0,0,12.54,2.19,0,0,0,1.6,0,0,40.45,0,0,0,5.2,0,3.76,5.57,0,0.9,0,0
 48-58,0,0,0,0,5.83,1.14,0,0,0,0,0,1.14,24.06,0,0,0,0,0,0,6.44,0,0,0,0
 60-70,0,0,0,0,17.5,0.57,0,0,0,0.6,0,0,36.82,0,0,0,7.16,0,0,1.35,0,0,0,0
 72-82,0,0,0.71,0,25.15,0,0,0.55,0,1.18,0,0,31.7,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.63,22.61,3.06,0,0,0,2.29,0.61,0,5.35,0,0,0,0,0,0,2,0,0,0,0
 96-106,0,0,0,1.92,22.17,0,0,0,0,6.88,0,0,23.82,0,0,0,2.14,0,0,0,0,0,0.91,0
108-118,0,0,1.77,0.69,39.82,1.58,0.61,0,0,0,0,1.58,39.17,0,1.56,0,0.68,0,0,2.17,2.18,0,0,0.93
120,0,0,0,0,52.05,0,1.17,0,1.28,0,0,0,21.08,0,2.3,0,0,0,0,0,0,6.37,0,0
