stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,53.08,573.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.1,0,0,0,0,0,0,0,0,0
  5-6,6.06,262.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.67,0,0,0,6.9,117.18,0,0,0,0,0,0,0,0,0
  7-9,10.98,0,8.67,0,0,0,38.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.58,0,0,0,40.7,75.81,5.26,0,0,0,0,0,0,0,0
 10-12,0,10.8,0,0,0,0,12.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.03,0,0,0,14.58,23.56,0,0,10.22,0,0,0,0,0,0
 14-21,0,0,0,2.07,1.05,0,0,0,0,0,1.28,0,0,0,0,5.21,0.92,0,1.21,0,0,0,21.01,2.25,0,0,0,667.43,0,5.36,0,1.2,10.08,0,0,0,0
 24-34,0,0,0.64,7.87,0,0,6.04,0,0,0,1.62,1.31,0,0,0,9.32,0.64,3.11,3.03,9.38,0,0.78,88.41,0.67,7.47,1.04,0,1252.69,0,0,0,0,13.36,0,3.09,0,0
 36-46,0,0,0,21.45,0,0,2.24,2.35,14.52,3.07,1.05,0,0,0,0,23.92,0,0,0,5.1,0,1.77,47.53,0,6.53,1.46,0,1431.89,0.78,0,0,0,10.56,0,0,0,0
 48-58,0,0,0,13.24,0.59,0,12.03,0,4.47,0,3.21,0,2.37,0,0,10.16,1.34,0,5.57,12.38,0,1.74,70.3,0.85,4.52,1.01,0,790.58,0,0,0,0,5.14,0,0,0,0
 60-70,0,0,0,25.08,0,0,31.5,0,0.94,0,10.73,0,0,0.9,4.02,7.24,0.6,0,3.43,4.32,0,0,88.02,0,4.23,4.38,0,617.35,0,0,0,0,8.19,2.88,0,0,18.36
 72-82,0,0,0,29,1.69,0,3.51,0,5.74,0,5.1,0,0,0,23.23,10.01,0,0,24.89,5.65,2.04,2.17,68.29,0,1.91,3.3,0,405.53,0,0,0,0,0.71,0,0,0,0
 84-94,0,0,0,49.15,0,0,4.37,0,9.16,0.8,5.51,0,0,0,28.27,10.29,0,0,18.48,7.22,0,5.05,54.55,0,7.04,7.14,0,849.08,0,0,0,0,2.83,3.19,3.34,0,0
 96-106,0,0,0,70.1,0.63,0.9,27.54,1.46,8.42,0,6.19,4.23,0,0,54.53,17.42,2.91,0,9.91,3.98,2.08,2.01,71.65,0,4.92,9.01,0,665.13,0,0,0,0,0,1.24,3.37,2.57,0
108-118,0,0,0,64.12,0,0,11.94,0,13.69,1.03,7.9,4.72,0,0,54.5,13.28,3.48,0,18.26,7.86,2.29,2.29,111.7,0.47,4.31,9.94,0,689.61,0,0,0,0,0,3.3,2.32,0.57,0
120,0,0,0,119.38,2.57,0,9.83,0,14,0,0,4.35,0,0,127.46,32.86,5.13,0,25.53,1.56,3.7,0,57.31,0,28.03,16.17,0,444.37,0,0,0,0,0,0,3,0,0
