stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,54.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.64,0,0,0,0,0,0
  5-6,6.34,0,0,0,0,0,0,0,0,0,26.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,14.25,0,0,0,0,5.26,0,0,0,0,0,0,0,0,43.18,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.15,0,0,9.61,0,0,0,0,9.53,0,0,0,3.73,0,0,0,0,186.7,0,0,0,35.68,0,0,0,0,0,0,0
 14-21,0,0,0,10.81,0.81,1.16,0,0,0,0,0,0,0,3.17,1.88,0.88,0.93,0,0,6.28,0,0,125.49,0,0,2.61,0,2.52,4.03,0,0
 24-34,0,0,0,14.75,0,2.44,0,0,0,2.57,0,2.24,0,30.4,0,3.43,5.75,0,4.48,68.99,0,3.98,35.9,0,0,0,0,0,16.85,0,0
 36-46,0,0,0,2.18,0,3.01,0,0.8,0,1.58,0,0,0,17.53,1.55,0,3.21,0,5.7,138.88,0,1.03,25.29,0,22.58,0,0,0,17.93,0,0
 48-58,0,0,0,2.64,0,18.71,0,0,6.93,4.56,0,0.37,0,20.19,0,0,3.64,0,9.54,212.74,0,3.58,14.85,0,0,0,0,0,15.88,0,0
 60-70,0,1.23,0,1.47,0,63.46,2.33,0,4.43,1.9,0,0,7.43,18.41,2.6,0,9.14,0,4.88,417.73,0,5.27,13.53,0,0.81,0,0,0,26.86,0.73,0
 72-82,0,6.79,0,1.55,0,118.12,0,3.14,12.14,3.54,0,0,0,22.96,0.62,0,11.08,0,4.72,573.8,0,2.8,30.32,0,0.8,0,0,0,18.13,0.82,2.93
 84-94,0,0,0,8.56,0,136.04,0,0,7.62,4.34,1.3,0.95,0,38.99,0,0,5.99,0,0.96,396.02,0,7.77,20.45,0,0,0,0,0,11.88,0,0
 96-106,0,4.6,0,4.93,2.23,117.99,0.58,0.92,5.53,6.87,0,2.74,0,72.78,0,0,7.7,0,2.01,479.53,0.86,7.83,33.33,0,0.76,0,0,0,17.25,1.23,0.93
108-118,0,1.99,0,7.82,0,139.05,0,0,11.73,3.82,0,0.68,0,47.26,1.66,0,15.95,1.62,2.25,557.59,0,2.76,20.03,0,1.02,0,0.69,0,7.41,1.74,0
120,0,1.37,0,22.23,0,161.83,0,0,14.66,1.18,0,0,0,28.73,1.29,1.51,5.01,0,0,1234.46,0,5.7,28.19,0,1.21,0,0,0,32.47,3.15,0
