stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,737.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.34,0,0,0,0,0,0,0,0
  5-6,49.96,1214.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.53,0,0,0,8.27,14.17,0,0,0,0,0,0,0,0
  7-9,22.49,22.43,34.65,0,0,0,99.89,0,0,0,20.21,0,0,0,0,0,0,0,661.46,37.38,0,0,177.58,0,0,0,0,0,0,0,0,0
 10-12,0,18.67,47.52,0,9.74,0,54.89,0,0,0,4.19,0,0,0,0,0,0,0,751.07,9.3,0,0,308.72,0,14.65,0,39.47,0,0,0,0,0
 14-21,0,0,0,11.12,1.02,0,18.53,0,2.53,0,0,0,0,0,0,11.67,0,12.98,207.05,2.13,0,3.11,4.2,0,0,25.99,0,47.8,44.06,0,0,0.98
 24-34,0,0,0,3.01,0,0,17.34,0,0,0,0,0,0.59,0,0,7.19,0,3.69,149.12,0,0.76,0,0,0,0,0,0.85,0.63,26.66,0,0,1.06
 36-46,0,0,0,0,0,0,35.4,0,5.3,0,0,0,0,0,0,7.25,0,1.16,118.62,1,0,0.76,0,0,0,0,0.67,0,33.48,0,0,0.56
 48-58,0,0,0,1.33,0,0,63.89,0,10.15,0,0,0.87,0,0,0,8.92,0,2.35,129.76,4.97,0,0,0,0.55,0,0,0,0,14.28,0,0,0
 60-70,0,0,0,1.74,0,0,56.21,0,10.5,0,0,0,1.69,0,0,2.91,0,0.59,73.71,0,0,0,0,0,0,0,0,0,22.6,0,0,0
 72-82,0,0,0,2.71,0,0,39.38,0.51,6.52,0.93,0,0,0,1.7,0,11.49,0,2.51,40.53,0,1.38,0,0,0,0,0,0,0,10.26,0,0.91,1.93
 84-94,0,0,0,0.58,1.71,0,35.77,0,5.3,0.68,0,0,1.39,0,0,2.57,0,2.18,51.28,0,0,0,0,6.35,0,0,0,0,4.21,0.55,0,0
 96-106,0,0,0,0.89,0,0,30.44,0,7.94,0,0,0,0,0,0,12.97,0.71,1.05,29.74,0,4.52,0,0,2.32,0,0,0,0,0,0,1.22,0
108-118,0,0,0,4.57,0.66,6.14,23.39,0,16.87,0,0,0,0,0,0.64,10.08,0,1.38,37.8,0,1.55,2.11,0,4.47,0,0,0,0,0,0,0,0
120,0,0,0,3.37,0,0,34.47,0,14.73,2.91,0,0,0,0,0,14.1,0,6.96,46.65,4.31,0,0,0,0,0,0,0,0,0,2.06,0,0
