stage,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,12.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.35,0,0,0,0,0,0,10.56,0,20.27,0,0,0
 10-12,0,0,0,0,0,0,3.42,0,0,0,0,0,0,7.42,0,14.82,0,6.86,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87
 24-34,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,4.02,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,2.8,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0.42
 60-70,0,0,0,0,0,0,0,0,0,0,1.11,0,0.89,3.81,0,0,0.67,0,0
 72-82,0,0.69,0,0,0.85,0,0,0,0,0,0.61,0,0,0.59,0,0,0.71,0,0
 84-94,0,0,0,3.54,0,0.61,0,1.78,0,0,0,0.61,0,0,1.68,0,4,0,0
 96-106,0,0,1.83,0,0,0,0,0.83,0,0,0,0,0,10.68,0,0,2.09,0,0
108-118,0,0,2.39,0,0,0,0,0,0,0,2.29,0,0,0,0,0,2.29,0,0
120,0,1.56,0,0,0,0,0,1.35,0,3.39,0,0,0,0,0,0,5.73,0,0
