stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,153.07,0,0,0,0,0,0,0,0,0,8.54,0,0,0,0,0,0,0,0,0,0,0,215.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.56,669.69,0,44.6,0,4.34,0,0,0,0,0,6.03,0,0,0,0,0,0,0,0,0,0,0,986.69,37.66,0,0,58.55,0,0,0,0,34.32,0,0,9.29,0,0,0,0,0
 14-21,2.31,0,159.2,1398.82,1012.45,0,67.76,0,1,0,4.44,421.23,2.24,142.65,5.56,0,0,0,0,1.87,577.05,1.02,0,176.89,395,68.59,0,7.84,26.35,0,5.26,0,1.49,2.13,8.59,23.05,376.48,0,0,111.65,0,0.84
 24-34,0,0,1.12,197.82,90.99,0,30.42,0,0,8.09,3.46,14.52,0,186.1,4.25,0.79,0,0,16.49,0.77,232.41,4.23,2.43,42.42,161.82,150.48,5.38,3.26,0,0,0.73,0,0,5.12,0,1.71,153.97,0,0,373.51,0,5.75
 36-46,0,0,0,62.25,4.8,0,17.53,0,0,109.69,0,0,0,48.6,1.03,0,0,0,0,0,375.42,0,5.21,30.77,147.27,237.41,0,2.61,0,0,1.32,0,0,0,0,0,123.68,0,0,111.11,0,7.64
 48-58,0,0,0,9.49,7.06,0,37.7,0.54,39.62,298.42,16.6,0,0,85.52,0,0,1.24,0,0,0,775.3,0,5.22,60.99,115.62,279.23,0,4.24,0,3.58,0,0,0,0,0,0,56.37,0,1.68,28.4,0,10.29
 60-70,0,0,0,43.32,5.36,0,58.26,1.17,15.7,316.41,137.99,12.68,0,86.82,0,0,13.61,0,0,0,2224.87,0,10.19,49.39,99.96,76.99,0,5.77,0,0.63,11.79,0,0,0,0,0,25.7,0,8.2,13.45,0,1.46
 72-82,0,0,1.12,21.95,22.1,0,134.67,0.88,4.41,543.78,222,1.45,0,78.46,5.83,0,12.02,0.65,6.78,0,4026.63,0,1.94,18.94,106.1,15.53,0.7,5.92,0,1.1,0,0,0,0,0,0,21.32,0,6.75,19.92,8.03,12.66
 84-94,0,0,0,31.81,6.94,0,113.47,0,34.46,340.76,246.9,2.29,0,88.49,2.85,3.2,3.07,0,0,10.35,3739.75,0,17.87,20.44,64.99,42.29,0,9.56,0,0,1.63,0,0,3.68,0,0,8.59,0,10.56,17.64,3.54,0.61
 96-106,0,0,0,37.1,8.88,1.05,35.1,1.01,20.9,298.92,99.72,0,0,96.02,14.16,0.78,2.34,0,3.85,0,1827.56,0,4.46,23.1,115.91,14.69,0,11.33,0,7.48,6.37,2.06,0,0,0,0,0,0,7.79,16.75,11.76,0
108-118,0,0,0,26.93,1.88,0.5,37.76,0.54,18.04,278.62,150.12,4.05,0,48.9,14.3,0.82,2.66,1.22,5.97,0,1601.76,0.77,0,20.62,69.84,10.82,0,3.59,0,2.27,1.89,0,0,1.06,0,0,12.76,3.42,14.6,14.73,22.91,0
120,0,0,0,38.59,0,1.05,13.54,0,3.62,422.76,261.96,2.93,0,115.56,7.29,0,4.59,0,6.03,0,1932.21,1.13,0,10.86,76.59,16.54,2.64,0,0,4.59,13.02,0,0,0,0,0,9.81,0,3.13,4.63,32.09,0
