stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,23.37,348.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.19,279.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0
  7-9,3.44,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,86.16,0,0,0,13.05,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.82,0,0,0,27.25,0,0,0,0,0,0,0,0,0,0,0,0,0,126.38,0,0,0,17.94,0,6.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,12.38,0,4.39,0,0,0,0,0,0,3.44,0,0,0,0,8.09,0.95,19.59,2.66,0,1.14,0,0,0,9.11,0,3.67,2.85,0,0,0,0
 24-34,0,0,0,6.25,0,3.51,0.67,1.86,0,0,0,0,0,0,0,0,0,4.26,9.23,56.09,3.17,0,1.35,0,3.46,0,0,0,0,4.9,0,0,2.02,0
 36-46,0,0,0.78,2.88,0,9.53,3.65,0,0,1.08,0,0,1.47,0,0,0,0,7.04,3.4,51.46,2.55,0,0.65,0,0.81,0,0,0,0,8.05,0,0,1.01,0
 48-58,0,0,0,0.51,0,9.11,0,0,0,1.54,0,0.37,0.48,0,0,0,0,3.57,0.4,29.59,1.98,0.43,0.52,0,2.92,0,0,0,0,9.49,0,0.61,0,0
 60-70,0,0,0,10.62,0,10.42,0,2.07,0,9.52,0.65,0,0,0,0,0,0,11.09,0.81,9.09,1.35,0,1.2,0,9.37,0,0,1.72,0,18.71,0,0,4.32,0
 72-82,0,0,0,0,0,1.43,0,1.55,0.59,1.12,1.36,0,0,0,0,0,0,2.99,0.54,3.6,0,0,0,0,0,0,0,0,0,2.08,0,0,0,0
 84-94,0,0,0,1.3,5.65,5.69,0,1.42,0.78,0.71,0,0,0,1.52,0,0,0,9.77,0,0.73,3.42,0,1.52,0,8.24,0,0,0,0,0.63,3.13,0,1.81,0
 96-106,0,0,0,7.23,0,5.81,0,0.58,4.53,14.54,0,0,0,0,0,5.58,0,4.56,0,0,1.17,4.11,1.09,0,2.4,0,0,0,0,6,0,0,0,0.66
108-118,0,0,0,12.14,0.93,3.09,0.46,4.78,1.52,2.57,0,0,0,0,0,0,0.64,18.87,2.53,9.9,1.52,0.48,0.83,0,11.62,0,0,0.73,0,0,0,0,0,1.48
120,0,0,0,3.4,0,0,0,0,0,9.5,0,0,0,0,1.34,0,0,0,0,3.88,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0
