stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,35.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,93.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.46,19.55,0,0,0,11.26,0,0,0,0,0,30.09,0,0,0,0,0,0,0,0,0,0,201.02,55.55,0,0,37.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,73.59,0,0,0,7.11,0,0,0,0,0,39.31,0,0,0,0,0,0,0,0,0,0,973.71,188.34,0,0,313.01,0,0,0,40.16,0,5.73,6.57,0,0,0,0,0
 14-21,0,0,10.56,372.27,9.03,0,20.69,0,5.7,0,13.56,6.24,3.47,0,0,0,0,0,0,38.65,0,0,65.42,187.84,104.1,0,0,6.95,0,0,70.66,0.91,0.87,136.43,102.8,0,0,2.49,0,0
 24-34,0,0,4.68,453.89,3.69,0,79.28,0,129.61,0.8,13.14,1.76,0,4.66,0,0,0,1.52,1.34,166.39,1.47,0,159.37,173.05,86.28,3.59,8.28,0,1.61,6.23,1.22,0,4.33,19.33,41.9,0,0,3.55,0,0
 36-46,0,0,0,286.12,0,0,41.15,0,138.76,18.66,11.14,0.72,0,10.69,0,0,0,2.43,0,317.16,6.45,0.56,140.86,107.39,56.06,2.28,2.35,0,0,4.41,0,0,0,0.69,25.75,0,0,7.65,0,0
 48-58,0,0,0,257.71,0,0,113.05,0,166.39,21.38,23.84,0,0,6.96,0,4.13,1.14,2.92,3.14,353.82,0.73,11.51,65.4,169.14,29.79,1.37,6.01,0,0,0,0,0,0.46,0,19.47,0,0,0,0,0.98
 60-70,0,0,0,235.92,0,0,130.82,0,110.77,40.8,8.44,0,0,1.47,0.6,0,0,0.61,1.51,294.18,1.53,5.52,57.49,120.64,1.9,2.17,6.98,0,0,3.5,0,0,0,0,22.73,0,1.03,0,0,0
 72-82,0,0,0,164.24,0.59,0,116.96,0.51,90.85,66.63,38.58,0.63,0,3.74,0,4.44,0,4.35,0,368.86,4.12,8.82,94.09,59.52,19.01,0.76,11.28,0,0.84,1.97,0,0,0,0,6.35,0.5,5.8,2.56,1.27,0
 84-94,0.62,0,0,281.62,0,0.59,167.64,1.25,95.11,47.53,38.89,1.89,0,4.19,0,13.02,0,0.71,3.49,289.12,0.59,1.39,49.53,33.9,9.8,1.7,33.65,0,0,0,0,0.96,0,0,7.91,4.35,1.24,0.85,0.78,0
 96-106,0,0,0,216.87,5.21,0,119.17,1.64,83.53,25.2,61.84,3.49,0,11.1,0,12.73,0,0.64,8.31,273.81,4.86,0,48.73,66.47,10.16,3.51,34.12,0,6.6,5.96,0,0.7,0,0,19.36,0.8,7.64,6.45,2.74,0
108-118,0,0,0,282.2,0,0,125.95,0,102.01,23.68,50.07,5.88,0,3.11,0.75,10.83,0.61,1.24,0,319.79,2.36,4.89,59.21,74.42,16.65,2.95,21.01,0,1.82,2.32,0,0.42,0,0,12.03,1.37,3.23,0.94,0.73,2.03
120,0,0,0,366.22,0,0,50.78,0,82.96,19.76,107.06,1.34,0,3.15,0,3.71,0,3.15,17.89,390.39,9.14,0,42.81,118.05,26.64,6.43,20.63,0,0,0,0,2.11,0,0,0,0,0,0,13.83,0
