stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,olfactory,otic,periderm,spinal.cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.02,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,9.79,0,0,0,2.84,3.07,0,0,6,0,0,0,0
 24-34,2.37,0,0,0,0,0,0,2.28,3.71,30.16,0,0,0,35.89,18.27,1.79,0,3.21,1.02,0,0,1.52
 36-46,0,0,0.96,0,0,0,0,0,1.23,15.67,0,0,0.83,51.41,70.27,6.14,0,3.28,0,0,0,0
 48-58,2.23,0,1.63,1.11,0,0,1.35,0,3.83,69.92,0,0,0,65.01,26.72,2.28,0,0,0,0,0,0
 60-70,4.24,0,0,0,0,0,4.97,0,6.3,13.42,0,0,1.04,59.64,22.9,0,0,5.44,0,1.65,0,0
 72-82,6.15,0,1.85,0,0.56,0,103.05,0,6.45,6.07,0,0,5.22,44.78,3.94,0,0.69,3.49,0,1.82,0,0
 84-94,15.08,0,1.21,0.77,0,1.8,132.14,1.57,9.75,8.97,4.69,0,7.73,33.41,10.32,0,5.64,8.78,0,4.15,0,0
 96-106,29.58,10.9,16.83,0,0,6.94,171.75,0,18.42,14.42,5.81,7.38,1.52,97.65,18.65,2.79,7.62,21.12,0,5.27,1.49,0
108-118,11.33,0.8,1.59,0,0,0,208.49,0,9.82,17.97,2.2,0,4.82,42.68,35.77,2.33,1.61,13.89,0,8.55,0,0
120,11.25,0,4.22,0,0,0,94.83,0,15.81,4.11,1.15,0,3.39,18.45,5.21,3.25,17.67,8.24,0,6.74,0,0
