stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,151.75,1559.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,74.59,1014.38,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.57,0,0,0,6.91,0,9.57,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.07,4.99,0,12.6,0,0,0,20.41,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,270.64,21.42,0,0,87.72,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,27.03,0,10.78,0,18.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.74,0,0,0,163.42,0,0,0,0,3.78,0,0,0,0,0,0,0,0
 14-21,2.31,0,0,1.94,23.96,7.88,0,3.12,0,0.82,0,7.1,0,0,0,0,0,0,0,0,11.17,0,0,10.88,97.62,3.32,0,2.3,2.31,0,0,0,9.81,11.11,0,4.75,31.91,0,0,0,0,0
 24-34,0,0,0.84,0,14.57,0,0,14.87,0,2.16,1.43,11.56,0,0,1.01,0,1.69,0,0,2.74,43.32,0.7,0,28.49,191.19,8.08,0,2.46,0,0,0,1.47,0,23.15,0.63,3.55,60.54,0,0,11.88,0,0
 36-46,0,0,0,0,4.54,1.1,0,22.09,0,0,4.11,6.45,0,0,0,0,0,16.86,0.7,4.5,102.08,0,1.42,18.92,163.89,0.92,0,0.9,0,0,1.86,0,0,7.53,0,0,38.3,0,0,1.58,0,1.13
 48-58,0,0,0,0,3.28,0,0,18.54,0,8.66,4.38,17.7,0,0,0.81,0,0,0.4,0,0.78,138.93,0,1.78,19.75,99.28,10.98,2.37,3.01,0,0,2.11,0,0,16.01,0,0,41.41,0,0,11.55,0,2.7
 60-70,0,0,0,0,4.78,0,0,37.34,0.86,5.51,11.25,12.26,0,0,2.24,0,0,2.29,3.88,2.33,232.78,0,2.49,23.86,101.12,0,2.39,5.11,0,1.19,4.86,0,0,5.09,0,0,11.48,0,3.75,3.3,0,14.16
 72-82,0,0,0,0.75,8.6,0.5,0,39.7,0,1.93,8.09,11.24,0,0.6,2.83,0.49,4.64,0,2.62,12.1,288.85,0.88,11.27,16.63,56.27,0,2.37,3.24,0,2.9,0.55,1.65,0,4.46,0,0,5.25,3.07,4.28,12.72,2.18,4.7
 84-94,0,0,1.65,0,7.99,0,0,37.84,0,5.97,2.11,19.76,0.68,0,2.91,0.94,3.53,4.5,2.91,20.49,199.36,0,12.22,10.86,38.58,0.69,0,1.92,0,1.34,0.68,0,0,6.62,0,0,0.75,9.51,5.41,7.99,2.14,13.04
 96-106,0,0,0,0,8.53,0,0,25.87,1.54,10.34,5.93,23.46,3.72,0,1.57,4.05,1.56,1.36,3.11,0.68,146.5,0,10.44,8.73,14.78,0,1.63,6.23,0,5.42,3.03,0,0,5.37,0,0,5.67,10.08,0.9,19.53,8.68,2.55
108-118,0,0,0.79,0,5.7,0,0.56,15.53,0,9.85,4,20.14,1.63,0,4.02,0.41,1.88,18.49,3.98,8.13,207.94,0,8.29,6.54,37.35,0,0,11.1,0,0,5.05,0,0,9.83,0,0,4.48,24.13,8.13,4.89,5.32,5.11
120,2.82,0,0,0,46.14,0,0,9.38,0,0,0,5.28,0,0,3.96,1.61,0,9.97,1.6,5.61,209.28,0,0,11.94,44.61,0,0,7.24,0,1.79,17.24,0,0,7.81,0,0,0,11.26,6.83,3.67,18.73,2.78
