stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,heart,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,98.51,2096.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.38,0,0,0,0,0,0,0
  5-6,192.66,2910.19,12.33,0,0,0,0,0,0,9.89,0,0,0,0,0,0,101.25,0,0,0,21.24,62.01,0,0,0,0,0,0,0
  7-9,27.64,20.66,63.23,0,0,122.05,0,0,0,27.69,0,0,0,0,0,0,1087.54,14.49,0,0,367.46,0,15.51,0,0,0,0,0,0
 10-12,0,9.78,41.57,0,10.76,52.78,0,0,0,26,0,0,0,0,0,0,719.06,13.89,0,0,263.43,4.05,0,3.57,34.2,0,0,0,0
 14-21,0,0,0.94,7.27,0,5.84,0,0,0,0,0,0,0.98,0,0,0,15.26,0,0,1.24,0.93,0,0,2.29,0,1.19,5.85,0,0
 24-34,0,0,0,0,0.83,3.31,0,0,0,0,0,0,6.22,0,0,2.79,63.83,0,0,3.98,0,0.92,0,0,0,0.78,24.72,0,0
 36-46,0,0,0,0,0,7.07,0,0,0,0,0.89,0,0.94,0,0,0.84,11.41,0,0,0,0,1.5,0,0,0,0,3.19,0,0
 48-58,0,0,0,2.44,0,17.21,0,1.06,2.32,0,0,0.39,3.91,0,0.56,0,9.72,0,0,0.53,0,0.38,0,0,0,0,6.72,0,0
 60-70,0,0,0,0.6,0,10.17,0.83,0,1.03,0,0,0,2.74,0,0,0,26.19,0,0,0,0,0,0,0,0,0,3.54,0.9,0
 72-82,0,0,0,0,0,6.44,0,0.58,2.69,0,0,0,4.47,0,0,0,19.7,0,0,0,0,0,0,0,0,0,0,0,0.86
 84-94,0,0,0,0,0,1.97,0,0,4.77,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0.8,0,0,0,1.13,0.68,0,0,4,0,2.91,0,0,0,0,0,0.67,0,0,0,0
108-118,0,0,0,1.85,0,0.94,0,0,0.6,0,0,0,1.31,0,1.29,0.56,3.14,0,0,0,0,0,0,0,0,0,0,0,0.65
120,0,0,0,0,0,1.31,0,0,1.26,0,0,0,2.59,0,0,2.23,3.13,0,0,0,0,0,0,0,0,0,0,0,0
