stage,axial,blastomeres,epidermis,eye,mesenchyme,mural.cell,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,taste
  3-4,0,20.34,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.49,61.25,0,0,0,0,0,0,11.07,0,0,0,0
  7-9,0,0,0,0,0,0,27.51,0,9.69,0,0,0,0
 10-12,0,0,0,0,0,0,3.74,0,3.52,0,0,0,0
 14-21,0,0,0,3.74,0,0,2.72,0,0,4.7,1.25,0.88,0
 24-34,0,0,0.93,1.58,0,0,2.83,0.79,0,0,0,3.74,0
 36-46,0,0,0,1.64,0,0,4.62,0,0,0,0,1.27,0
 48-58,0,0,0,0.82,0,0.61,7.85,0,0,0,0,0.44,0
 60-70,0,0,0,2.01,0,0,2.22,0,0,0,0,3.06,0
 72-82,0,0,0,0,0,0,1.12,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,9.36,0,0,0,0,0.94,0
 96-106,0,0,0,0,0.97,0.63,0.82,0,0,2.39,0,0,0
108-118,0,0,0,4.03,1.05,0,1.82,0,0,0,0,0,0.5
120,0,0,0,1.6,0,0,0,0,0,0,0,0,0
