stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,53.78,623.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.66,0,0,0,0,0,0,0,0,0
  5-6,52.71,399.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,7.36,0,0,0,0,0,0,0,0,0
  7-9,4.88,11.05,0,12.64,0,0,22.22,0,0,0,0,21.95,0,0,0,0,0,0,0,0,0,0,219.12,22.39,0,0,115.02,0,0,0,0,0,0,0,0,0,0
 10-12,0,16.14,0,28.68,0,0,51.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315.87,24.4,0,0,89.16,0,4.37,0,36.48,0,0,0,0,0,0
 14-21,0,0,0,0,3.94,0.82,0,0,0,2.08,0,0,0,0,0,0,0,0,4.1,0,0,0,11.32,0,0,0,0,1.51,0,3.01,0,0,0.84,17.14,0,0,0
 24-34,0,0,0.65,0,0.62,0,4.61,0,0,0,0,0,0,0,0,1.17,0,0,0.63,0,0,5.17,42.37,0,0,0,0,0.62,0,0,0,0,0.67,13.86,0,2.17,0
 36-46,0,0,0,0,0,0,11.07,0,0,1.89,0,0,0,0,0,0,0,0,8.61,0,0,0.68,69.78,0.62,2.65,0,0,11.82,0,0,2.02,4.33,0,8.63,0,1.69,6.1
 48-58,0,0,0,0,0,0,34.76,0,0,1.89,0,0,0.41,0,0,0,0,0,4.94,0,0,2.19,69.64,0,1.14,0.38,0,0.96,0,0,0,0,0,10.08,0,0,0
 60-70,0,0,0.57,0,1.97,0,29.28,1.8,0,3.14,0.85,0,0,0,0,0,0,0,9.24,0,0.63,3.77,64.29,0,0,4.55,0,5.36,0,0,0,2.31,0,1.31,0,1.41,0
 72-82,0,0,0,0,1.75,0,39.46,0,3.13,2.92,0,0,0,0,0.53,0,0,0,10.06,0,0.49,0.77,40.89,0,1.58,0.49,0,4.93,0,0,0,0,0,2.32,0.53,1.09,0
 84-94,0,0,0,0,0,0.65,9.73,0,0,0,2.19,0,0,0,0,0.56,1.52,0.58,9.05,1.19,0,3.32,33.53,0,0,1.29,0,0.71,0,0,0,0,0,4.96,0,2.23,0
 96-106,0,0,0,0,0,0,18.9,0,0,6.82,0,0,0.88,3.02,0,0,0,0,4.67,0,0,0.9,23.61,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0
108-118,0,0,0,0,1.06,0,5.99,0,1.25,3.51,0,0,0,0,0,0,0,0,3.86,0,0,0,23.44,0,0,0.43,0,0,0,0,0,0,0,4.09,0,0,0
120,0,0,0,0,0,0,0,0,0,4.78,0,0,0,0,0,0,0,1.5,9.99,0,0,0,40.15,0,0,0,0,7.8,0,0,0,0,0,0,0,0,0
