stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,49.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,78.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.16,6.86,0,17.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.21,5.33,0,34.19,0,0,6.94,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.44,27.82,0,23.07,0,0,12.01,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.97,2.71,0,1.58,0,0,0,0,0.85,0,0,0,0,2.5,0,0,0,12.19,0,0,0,0,0,0,0.83,0,1.17,0.87,3.69,0,0
 24-34,0,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0,5.97,0,0,3.71,2.78,0,0,0,0.99,0,0,0,0,0,0,1.34,0,1.08
 36-46,0,0,0,0,0,0,0,12.1,0,0,0,0.62,0,0,0,0,0,5.83,0,0,1.11,0.7,0,0,0,0,2.53,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0.91,0.39,0,0,0,9.48,0,0,0,0,0,1,0,1.45
 60-70,0,0,0,0,0,0,0,673.89,0,0,0,0,0,0,0,0,0,1.48,0,0,0,1.97,0,0,0,0,2.89,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.63,0,0.76,2011.99,0,0,0,3.22,0,0,0,1.53,1.68,3.94,1.06,0,1.17,28.16,0,0,0,2.41,1.17,0,0,0,0,0,3.26,0,0.5
 84-94,0,0,0,0,8.71,0,0,2777.36,0,0,0,0,0,1.49,2.52,0,0,5.35,2.96,2.67,0.86,15.28,0.62,0,0,0,0.71,0,0,0,0,0,0,0,1.34
 96-106,0,0,0,0,2.91,1.36,0,2487.76,1.59,0,0,2.99,0,2.82,0.66,0,0,7.19,0,1.41,0,50.04,0,0.56,0,0,0.61,0,0,0,0.9,0,2.88,0,2.1
108-118,0,0,0.71,0,7.31,3.61,0,2186.27,0,0,0.73,4.73,0.6,0,0,0,0,4.91,0,0.98,0.53,30.19,0,0,0,0,4.58,0,0,1.36,0,0,0,0.99,0
120,0,0,0,0,20.73,0,0,2794.54,0,2.21,0,11.31,0,0,0,0,0,28.09,0,0,1.81,56.85,4.5,0,0,0,0,0,0,0,0,0,5.86,0,5.76
