stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,300.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.94,717.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.76,0,0,0,11.56,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.82,18.81,15.93,0,0,45.88,0,0,0,0,0,15.63,0,0,0,0,0,0,0,0,0,0,0,281.53,13.76,0,0,127.29,0,0,4.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.73,32.47,0,5.18,13.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.87,11.52,0,0,151.93,0,0,0,0,29.63,0,4.75,0,0,0,0,0,0
 14-21,0,0,0,10.73,2.14,6.98,0,0,0,1.9,0.81,0,0,0,0,0,0,0,0,4.83,0,0,6.83,83.09,0,2.23,0.88,0,0,0,0,6.68,1.88,1.46,12.34,33.77,0,0,0.89,0,0
 24-34,0,0,0.6,4.99,0,10.73,0,0.63,0,2.3,0,0,0.81,0,1.75,0,0,0,0,13.24,0,0,12.09,274.04,0,0,1.28,0,0.99,2.95,0,0,0,0,2.79,44.78,0,0,9.02,0,0.77
 36-46,0,0,0,1.61,0,44.78,0,0,0,8.76,0,0,0,1.54,0,0,0,0,0.66,26.71,0.63,2.04,5.86,399.88,0,5.79,0,0,0,29.14,0,0,0.86,0,0,71.66,0,0,4.69,0,0
 48-58,0,0,0,5.56,0.45,99.55,0,0.47,1.13,11.83,0,0,3.25,0,0,0,0.73,0,0.98,23.91,0,0,2.74,439.31,2.16,5.46,0.94,0,0,2.77,0,0,0,0,0,78.69,0,0,0.91,0,3.42
 60-70,0,0,0,1.65,0,123.17,0,0.64,1.04,20.81,4.18,0,0.75,2.46,0,0.63,0,0,0,49.73,0,0,1.49,387.18,5.78,3.06,0,0,0,5.07,0,0,0,0,0,70.04,0,0.6,2.17,0,0
 72-82,0,0,0,4.9,5.63,107.32,0,0,4.06,25.85,3.1,0,0.73,0,0,0,0.57,0,0,55.77,1.01,2.24,4.13,293.78,0,2.51,0.75,0,0,1.17,0,0,0,0,0,49.08,0,0,13.3,0,0
 84-94,0,0,0,3.74,1.43,71.05,0,0,1.75,2.05,0.73,0,0,0,1.01,0,0,1.61,0.67,51.15,0,0,0,199.08,1.96,0,4.66,0,0,9.41,0,0,2.23,0,0,37.01,0,1.8,0.61,0,0
 96-106,0,0,1.03,4.88,1.15,63.67,0,0,0,17.05,0,0,1.53,1.24,0,1.97,1.08,0.7,0,46.57,2.95,6.32,6.37,155.32,0.62,1.03,2.96,0,1.77,12.92,0,0,0,0,0,19.21,2.24,0,4.01,2.14,0.66
108-118,0,0,0,2.03,1.55,109,0,0.87,0.47,9.5,0,0,0,0.7,0,1.09,0.56,0.9,0,53.92,0,3.73,1.35,310.51,2.26,1.25,3.26,0,0,4.7,0,0,0,0,0,16.35,1.94,0,3.25,1.13,0
120,0,0,0,2.08,1.01,76.23,2.34,0,3.99,26.92,1.77,0,0,1.72,0,0,0,0,1.79,56.81,1.56,9.21,13.32,290.09,4.49,3.57,4.66,0,0,6.76,0,0,0,0,0,10.36,0,2.15,0,4.69,0
